SL,SMILE1,SMILE2,Temperature,Prompt,Non_Reactive_groups,Source_File
11,Nc2ccc(SSc1ccc(N)cc1)cc2,Nc2ccc(Cc1ccc(N)cc1)cc2,2.0,Create a thermoset polymer with Tg around 150°C and Er near 200 MPa.,[],properties_generated_responses.json
12,CC(C)COCC(C)(CO)COCC(C)(CO)COCC(C)(CO)COCC(C)(CO)COCC(C)O,CCCCCCCCCCN,2.0,Create a thermoset polymer with Tg around 150°C and Er near 200 MPa.,[],properties_generated_responses.json
13,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,NCCNCCN,2.0,Create a thermoset polymer with Tg around 150°C and Er near 200 MPa.,[],properties_generated_responses.json
14,Nc2ccc(S(=O)(=O)c1ccc(N)cc1)cc2,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,2.0,Create a thermoset polymer with Tg around 150°C and Er near 200 MPa.,[],properties_generated_responses.json
15,Cc3cc(c2cc(C)c(OCC1CO1)c(C(C)(C)C)c2)cc(C(C)(C)C)c3OCC4CO4,CC(C)(c2ccc(Cc1ccc(C)c2)c1)N,2.0,Create a thermoset polymer with Tg around 150°C and Er near 200 MPa.,[],properties_generated_responses.json
16,Nc2cccc(S(=O)(=O)c1cccc(N)c1)c2,Nc1cccc(N)c1,2.0,Propose two monomers that form a TSMP with Tg = 140°C and Er = 80 MPa.,[],properties_generated_responses.json
17,N=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOOCCOCCOCCOCCOCCOCCOCCOCCOCCOOCCOCCOCCOCCOCCOC(=O)C(=C)N,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,2.0,Propose two monomers that form a TSMP with Tg = 140°C and Er = 80 MPa.,[],properties_generated_responses.json
18,Nc2ccc(S(=O)(=O)c1ccc(N)cc1)cc2,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,2.0,Propose two monomers that form a TSMP with Tg = 140°C and Er = 80 MPa.,[],properties_generated_responses.json
19,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,CCC(COCC(C)COCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,2.0,Suggest a polymer system for Tg ≈ 60°C and Er ≈ 100 MPa.,[],properties_generated_responses.json
20,CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,2.0,Suggest a polymer system for Tg ≈ 60°C and Er ≈ 100 MPa.,[],properties_generated_responses.json
21,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,Nc1cccc(N)c1,2.0,Suggest a polymer system for Tg ≈ 60°C and Er ≈ 100 MPa.,[],properties_generated_responses.json
22,Nc1cccc(N)c1,CC(C)(C)C,2.0,Suggest a polymer system for Tg ≈ 60°C and Er ≈ 100 MPa.,[],properties_generated_responses.json
23,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C,2.0,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses.json
24,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,CCC(COCC(C)OC(=O)C(=C)C)(COCC(C)OCC(C)C)COCC(C)OCC(C)C,2.0,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses.json
25,C=Cc1ccccc1,C/C=C\CC(=O)OC(=O)/C(=C\CO)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C/c1ccc(cc1)[N+](=O)[O-])/C=C,2.0,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses.json
26,Nc2ccc(SSc1ccc(N)cc1)cc2,NCCOCCOCCN,2.0,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses.json
27,C[C@H](C(=O)[C@@]1(CC[C@@H]2[C@@]1(CCC3=C4CCC(=O)C=C4CC[C@@H]23)C)C)O,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,0.5,Suggest a TSMP system with one monomer having vinyl(C=C) groups and the other featuring hydroxyl(=O) groups.,[],group_generated_responses.json
28,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,0.5,Suggest a TSMP system with one monomer having vinyl(C=C) groups and the other featuring hydroxyl(=O) groups.,[],group_generated_responses.json
29,C[C@H](C(=O)[C@@]1(CC[C@@H]2[C@@]1(CCC3=C4CCC(=O)C=C4CC[C@@H]23)C)C)O,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,0.5,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains vinyl(C=C) groups.,[],group_generated_responses.json
30,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,0.5,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains vinyl(C=C) groups.,[],group_generated_responses.json
31,C[C@]1(CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C)O,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,0.5,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains vinyl(C=C) groups.,[],group_generated_responses.json
32,C[C@H](C(=O)[C@@]1(CC[C@@H]2[C@@]1(CCC3=C4CCC(=O)C=C4CC[C@@H]23)C)C)O,C=C=Cn1cc(c(=O)c2c1cc3c(c2)OCO3)C(=O)[O-],0.5,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains vinyl(C=C) groups.,[],group_generated_responses.json
33,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],C[C@H](C(=O)[C@@]1(CC[C@@H]2[C@@]1(CCC3=C4CCC(=O)C=C4CC[C@@H]23)C)C)O,0.5,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains vinyl(C=C) groups.,[],group_generated_responses.json
34,CC\1=NC(=O)C(=C/C1=C\2/C=CN3C=CNC3=C2)C#N,C=C=Cn1cc(c(=O)c2c1cc3c(c2)OCO3)C(=O)[O-],0.5,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains vinyl(C=C) groups.,[],group_generated_responses.json
35,CC\1=NC(=O)C(=C/C1=C\2/C=CN3C=CNC3=C2)C#N,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,0.5,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains vinyl(C=C) groups.,[],group_generated_responses.json
36,C[C@]1(CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C)O,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,0.8,Suggest a TSMP system with one monomer having vinyl(C=C) groups and the other featuring hydroxyl(=O) groups.,[],group_generated_responses.json
37,C[C@]1(CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C)O,c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,0.8,"Provide a pair of monomers suitable for TSMPs, one rich in vinyl(C=C) and the other in vinyl(C=C) groups.",[],group_generated_responses.json
38,C[C@H](C(=O)[C@@]1(CC[C@@H]2[C@@]1(CCC3=C4CCC(=O)C=C4CC[C@@H]23)C)C)O,C=C=Cn1cc(c(=O)c2c1cc3c(c2)OCO3)C(=O)[O-],0.8,"Provide a pair of monomers suitable for TSMPs, one rich in vinyl(C=C) and the other in vinyl(C=C) groups.",[],group_generated_responses.json
39,CC\1=NC(=O)C(=C/C1=C\2/C=CN3C=CNC3=C2)C#N,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,0.8,"Provide a pair of monomers suitable for TSMPs, one rich in vinyl(C=C) and the other in vinyl(C=C) groups.",[],group_generated_responses.json
40,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,C[C@]1(CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C)O,0.8,"Provide a pair of monomers suitable for TSMPs, one rich in vinyl(C=C) and the other in vinyl(C=C) groups.",[],group_generated_responses.json
41,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,0.8,"Provide a pair of monomers suitable for TSMPs, one rich in vinyl(C=C) and the other in vinyl(C=C) groups.",[],group_generated_responses.json
42,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,0.8,"Provide a pair of monomers suitable for TSMPs, one rich in vinyl(C=C) and the other in vinyl(C=C) groups.",[],group_generated_responses.json
43,C[C@]1(CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C)O,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,0.8,"Provide a pair of monomers suitable for TSMPs, one rich in vinyl(C=C) and the other in vinyl(C=C) groups.",[],group_generated_responses.json
44,CC\1=NC(=O)C(=C/C1=C\2/C=CN3C=CNC3=C2)C#N,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,1.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and hydroxyl(=O) functionalities.,[],group_generated_responses.json
45,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,1.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
46,CC\1=NC(=O)C(=C/C1=C\2/C=CN3C=CNC3=C2)C#N,c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,1.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
47,C=C=Cn1cc(c(=O)c2c1cc3c(c2)OCO3)C(=O)[O-],c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,1.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
48,C[C@]1(CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C)O,c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,1.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
49,C[C@]1(CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C)O,c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,1.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
50,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,1.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
51,C[C@]1(CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C)O,C=C=Cn1cc(c(=O)c2c1cc3c(c2)OCO3)C(=O)[O-],1.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
52,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],C[C@H](C(=O)[C@@]1(CC[C@@H]2[C@@]1(CCC3=C4CCC(=O)C=C4CC[C@@H]23)C)C)O,1.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
53,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,1.3,"Provide a pair of monomers suitable for TSMPs, one rich in vinyl(C=C) and the other in hydroxyl(=O) groups.",[],group_generated_responses.json
54,C[C@]1(CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C)O,C=C=Cn1cc(c(=O)c2c1cc3c(c2)OCO3)C(=O)[O-],1.3,Suggest a TSMP system with one monomer having vinyl(C=C) groups and the other featuring vinyl(C=C) groups.,[],group_generated_responses.json
55,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],CC\1=NC(=O)C(=C/C1=C\2/C=CN3C=CNC3=C2)C#N,1.3,Suggest a TSMP system with one monomer having vinyl(C=C) groups and the other featuring vinyl(C=C) groups.,[],group_generated_responses.json
56,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,1.3,Suggest a TSMP system with one monomer having vinyl(C=C) groups and the other featuring vinyl(C=C) groups.,[],group_generated_responses.json
57,CC\1=NC(=O)C(=C/C1=C\2/C=CN3C=CNC3=C2)C#N,c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,1.3,Suggest a TSMP system with one monomer having vinyl(C=C) groups and the other featuring vinyl(C=C) groups.,[],group_generated_responses.json
58,C[C@]1(CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C)O,c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,1.3,Suggest a TSMP system with one monomer having vinyl(C=C) groups and the other featuring vinyl(C=C) groups.,[],group_generated_responses.json
59,CC\1=NC(=O)C(=C/C1=C\2/C=CN3C=CNC3=C2)C#N,c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,1.3,Suggest a TSMP system with one monomer having vinyl(C=C) groups and the other featuring vinyl(C=C) groups.,[],group_generated_responses.json
60,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,C=C=Cn1cc(c(=O)c2c1cc(c(c2)F)Cl)C(=O)[O-],1.3,Suggest a TSMP system with one monomer having vinyl(C=C) groups and the other featuring vinyl(C=C) groups.,[],group_generated_responses.json
61,CC\1=NC(=O)C(=C/C1=C\2/C=CN3C=CNC3=C2)C#N,c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,1.3,Suggest a TSMP system with one monomer having vinyl(C=C) groups and the other featuring vinyl(C=C) groups.,[],group_generated_responses.json
62,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,1.3,Suggest a TSMP system with one monomer having vinyl(C=C) groups and the other featuring vinyl(C=C) groups.,[],group_generated_responses.json
63,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],C=C=Cn1cc(c(=O)c2c1cc(c(c2)F)Cl)C(=O)[O-],1.3,Suggest a TSMP system with one monomer having vinyl(C=C) groups and the other featuring vinyl(C=C) groups.,[],group_generated_responses.json
64,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,1.6,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and hydroxyl(=O) functionalities.,[],group_generated_responses.json
65,C[C@]1(CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C)O,C=C=Cn1cc(c(=O)c2c1cc(c(c2)F)Cl)C(=O)[O-],1.6,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains vinyl(C=C) groups.,[],group_generated_responses.json
66,C[C@H](C(=O)[C@@]1(CC[C@@H]2[C@@]1(CCC3=C4CCC(=O)C=C4CC[C@@H]23)C)C)O,C=C=Cn1cc(c(=O)c2c1cc(c(c2)F)Cl)C(=O)[O-],1.6,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains vinyl(C=C) groups.,[],group_generated_responses.json
67,CC\1=NC(=O)C(=C/C1=C\2/C=CN3C=CNC3=C2)C#N,C=C=Cn1cc(c(=O)c2c1cc(c(c2)F)Cl)C(=O)[O-],1.6,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains vinyl(C=C) groups.,[],group_generated_responses.json
68,C[C@H](C(=O)[C@@]1(CC[C@@H]2[C@@]1(CCC3=C4CCC(=O)C=C4CC[C@@H]23)C)C)O,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,1.6,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains vinyl(C=C) groups.,[],group_generated_responses.json
69,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,1.6,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains vinyl(C=C) groups.,[],group_generated_responses.json
70,C=C=Cn1cc(c(=O)c2c1cc(c(c2)F)Cl)C(=O)[O-],c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,1.6,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains vinyl(C=C) groups.,[],group_generated_responses.json
71,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],C[C@H](C(=O)[C@@]1(CC[C@@H]2[C@@]1(CCC3=C4CCC(=O)C=C4CC[C@@H]23)C)C)O,1.6,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains vinyl(C=C) groups.,[],group_generated_responses.json
72,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],C[C@H](C(=O)[C@@]1(CC[C@@H]2[C@@]1(CCC3=C4CCC(=O)C=C4CC[C@@H]23)C)C)O,1.6,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains vinyl(C=C) groups.,[],group_generated_responses.json
73,c1ccc3c(c1)c2ccccc2C3(c5ccc(OCCOCC4CO4)cc5)c7ccc(OCCOCC6CO6)cc7,NCCCCC(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,2.0,Suggest a TSMP system with one monomer having epoxy(C1OC1) groups and the other featuring imine(NC) groups.,[],group_generated_responses.json
74,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,2.0,"Provide a pair of monomers suitable for TSMPs, one rich in vinyl(C=C) and the other in hydroxyl(=O) groups.",[],group_generated_responses.json
75,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],C=C=Cn1cc(c(=O)c2c1cc(c(c2)F)Cl)C(=O)[O-],2.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
76,CC\1=NC(=O)C(=C/C1=C\2/C=CN3C=CNC3=C2)C#N,c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,2.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
77,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,C=C=Cn1cc(c(=O)c2c1cc3c(c2)OCO3)C(=O)[O-],2.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
78,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,2.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
79,C[C@]1(CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C)O,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],2.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
80,C[C@H](C(=O)[C@@]1(CC[C@@H]2[C@@]1(CCC3=C4CCC(=O)C=C4CC[C@@H]23)C)C)O,c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,2.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
81,C[C@]1(CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C)O,C[C@H](C(=O)[C@@]1(CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C)C)O,2.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
82,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,2.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
83,C=C=Cn1cc(c(=O)c2c1cc(c(c2)F)Cl)C(=O)[O-],C=C=Cn1cc(c(=O)c2c1cc3c(c2)OCO3)C(=O)[O-],2.0,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and vinyl(C=C) functionalities.,[],group_generated_responses.json
84,c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,C=C=Cn1cc(c(=O)c2c1cc(c(c2)F)Cl)C(=O)[O-],2.0,"Provide a pair of monomers suitable for TSMPs, one rich in acrylate(C=C(C=O)) and the other in vinyl(C=C) groups.",[],group_generated_responses.json
85,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,C=C=Cn1cc(c(=O)c2c1cc3c(c2)OCO3)C(=O)[O-],0.5,"Create a thermoset polymer with Tg = 60°C, Er = 100 MPa, and monomers featuring vinyl(C=C) and vinyl(C=C) groups.",[],mix_generated_responses.json
86,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCN,0.8,"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",[],mix_generated_responses.json
87,C=COC(=O)CCCCCC(C)(C)C,NCCCOCCOCCCN,0.8,"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",[],mix_generated_responses.json
88,C[C@H](C(=O)[C@@]1(CC[C@@H]2[C@@]1(CCC3=C4CCC(=O)C=C4CC[C@@H]23)C)C)O,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,0.8,"Propose two monomers that form a TSMP with Tg around 100°C, Er near 100 MPa, and containing vinyl(C=C) and hydroxyl(=O) groups.",[],mix_generated_responses.json
89,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,C=C=Cn1cc(c(=O)c2c1cc(c(c2)F)Cl)C(=O)[O-],0.8,Design a shape memory polymer with Tg ≈ 60°C and Er ≈ 100 MPa that includes vinyl(C=C) and vinyl(C=C) groups.,[],mix_generated_responses.json
