SL,SMILE1,SMILE2,Temperature,Prompt,Reactive_groups,Source_File
11,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,CC1(C)CC(N)CC(C)(N)C1,0.8,Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses_large.json
12,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,CC1=C([C@H](C(=C(O1)N)C(=O)OC)c2cccc(c2)[N+](=O)[O-])C(=O)C,1.0,Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_large.json
13,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,CCC(C=C)(C)OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,1.3,Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_large.json
14,CC(C)(c2ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCC3CO3)cc4,NCc1cccc(CN)c1,1.3,Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses_large.json
15,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,0.8,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) and imine(NC) functionalities.,"['C1OC1', 'NC']",groups_generated_responses_large.json
16,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.0,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) and imine(NC) functionalities.,"['C1OC1', 'NC']",groups_generated_responses_large.json
17,c1ccc3c(c1)c2ccccc2C3(c5ccc(OCCOCC4CO4)cc5)c7ccc(OCCOCC6CO6)cc7,CC(C)(c3ccc2OCN(c1ccc(C)c(N)c1)Cc2c3)c5ccc4OCN(c6ccc(C)c(N)c6)Cc4c5,1.3,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) and imine(NC) functionalities.,"['C1OC1', 'NC']",groups_generated_responses_large.json
18,BB(COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)Cc4ccc(OCC3CO3)cc4,CC1(C)CC(N)CC(C)(CN)C1,1.3,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) and imine(NC) functionalities.,"['C1OC1', 'NC']",groups_generated_responses_large.json
19,c1cc(c2nccc(=O)n2c1)SC(=O)N3CCSCC3,CCC1=C([C@H](C(=C(O1)N)C(=O)OC)c2cccc(c2)[N+](=O)[O-])C(=O)C,1.6,"Generate two monomers for a TSMP, ensuring one includes thiol(CCS) groups and the other includes vinyl(C=C) groups.","['CCS', 'C=C']",groups_generated_responses_large.json
20,c1cc(ccc1N2C(=O)C=CC2=O)I,c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N),2.0,Design a thermoset shape memory polymer using monomers that include acrylate(C=C(C=O)) and vinyl(C=C) functionalities.,"['C=C(C=O)', 'C=C']",groups_generated_responses_large.json
21,C1OC1COC3COC4C(OC2CO2)COC34,NCC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N,1.0,"Create a thermoset polymer with Tg = 40°C, Er = 80 MPa, and monomers featuring epoxy(C1OC1) and imine(NC) groups.","['C1OC1', 'NC']",mix_generated_responses_large.json
22,c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6,CC(N)COCC(C)OCC(C)OCC(C)OCC(O)CC(O)CC(O)CC(O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)N,1.3,"Create a thermoset polymer with Tg = 40°C, Er = 80 MPa, and monomers featuring epoxy(C1OC1) and imine(NC) groups.","['C1OC1', 'NC']",mix_generated_responses_large.json
23,CC(COc3ccc(C(C)(C)c2ccc(OCC(C)OCC1CO1)cc2)cc3)OCC4CO4,NC(CN)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,1.3,"Create a thermoset polymer with Tg = 40°C, Er = 80 MPa, and monomers featuring epoxy(C1OC1) and imine(NC) groups.","['C1OC1', 'NC']",mix_generated_responses_large.json
24,CC(C(COc3ccc(C(C)(C)c2ccc(OCC(C)OCC1CO1)cc2)cc3)OCC4CO4)OCC5CO5,CC(CN)CCCN,1.3,"Create a thermoset polymer with Tg = 40°C, Er = 80 MPa, and monomers featuring epoxy(C1OC1) and imine(NC) groups.","['C1OC1', 'NC']",mix_generated_responses_large.json
25,c3cc(NCC1CO1)ccc3Cc6ccc(NCC5CO5)cc6,CC(N)COCC(C)OCC(C)OCC(C)N,1.6,"Create a thermoset polymer with Tg = 40°C, Er = 80 MPa, and monomers featuring epoxy(C1OC1) and imine(NC) groups.","['C1OC1', 'NC']",mix_generated_responses_large.json
26,C1=CC(=O)N(C(=O)/C1=C(\C)/Nc2ccccc2N)[O-],CC1=C([C@H](C(=C(O1)N)C(=O)OC)c2cccc(c2)[N+](=O)[O-])C(=O)C,1.6,"Propose two monomers that form a TSMP with Tg around 100°C, Er near 100 MPa, and containing vinyl(C=C) and hydroxyl(=O) groups.","['C=C', 'C=C(C=O)']",mix_generated_responses_large.json
27,C=C1CCC(=O)OCC1OC(=O)C2CCC(C=C)C2,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,1.3,"Create a thermoset polymer with Tg = 150°C, Er = 200 MPa, and monomers featuring vinyl(C=C) and thiol(CCS) groups.","['C=C', 'CCS']",mix_generated_responses_large.json
28,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,c1cc(c2nccc(=O)n2c1)SC(=O)N3CCSCC3,1.6,"Create a thermoset polymer with Tg = 150°C, Er = 200 MPa, and monomers featuring vinyl(C=C) and thiol(CCS) groups.","['C1OC1', 'NC']",mix_generated_responses_large.json
29,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,OCCCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1.6,"Create a thermoset polymer with Tg = 150°C, Er = 200 MPa, and monomers featuring vinyl(C=C) and thiol(CCS) groups.","['C=C', 'CCS']",mix_generated_responses_large.json
30,C=CC(=O)C(=Cc1ccc(cc1)S(=O)(=O)C)C(=O)C,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,1.6,"Create a thermoset polymer with Tg = 150°C, Er = 200 MPa, and monomers featuring vinyl(C=C) and thiol(CCS) groups.","['C=C', 'CCS']",mix_generated_responses_large.json
31,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,CCC(C=C=Cn1cc(c(=O)c2c1cc(c(c2)F)Cl)C(=O)[O-])C(=O)C,1.0,"Propose two monomers that form a TSMP with Tg around 140°C, Er near 80 MPa, and containing thiol(CCS) and vinyl(C=C) groups.","['C=C(C=O)', 'C=C']",mix_generated_responses_large.json
32,C=C(CCS)OCC(COC(=O)C=C)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1,C=CCOCC(CO)(COCC=C)COCC=C,1.0,"Propose two monomers that form a TSMP with Tg around 140°C, Er near 80 MPa, and containing thiol(CCS) and vinyl(C=C) groups.","['CCS', 'C=C']",mix_generated_responses_large.json
33,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,C=C=Cn1cc(c(=O)c2c1cc3c(c2)OCO3)C(=O)[O-],1.3,"Propose two monomers that form a TSMP with Tg around 140°C, Er near 80 MPa, and containing thiol(CCS) and vinyl(C=C) groups.","['CCS', 'C=C']",mix_generated_responses_large.json
34,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,CC\1=NC(=O)C(=C/C1=C\2/C=CN3C=CNC3=C2)C#N,1.3,"Propose two monomers that form a TSMP with Tg around 140°C, Er near 80 MPa, and containing thiol(CCS) and vinyl(C=C) groups.","['CCS', 'C=C']",mix_generated_responses_large.json
35,C=CC(O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,1.3,"Propose two monomers that form a TSMP with Tg around 140°C, Er near 80 MPa, and containing thiol(CCS) and vinyl(C=C) groups.","['C=C', 'C=C(C=O)']",mix_generated_responses_large.json
36,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,CC\1=CC(=O)N(C(=O)/C1=C(\C)/Nc2ccccc2N)[O-],1.3,"Propose two monomers that form a TSMP with Tg around 140°C, Er near 80 MPa, and containing thiol(CCS) and vinyl(C=C) groups.","['CCS', 'C=C']",mix_generated_responses_large.json
37,C=C(CCS)OCC(COC(=O)C=C)COC(=O)C=C,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,1.6,"Propose two monomers that form a TSMP with Tg around 140°C, Er near 80 MPa, and containing thiol(CCS) and vinyl(C=C) groups.","['C=C(C=O)', 'C=C']",mix_generated_responses_large.json
38,C=C(C)C(=O)OCCC(O)COc2ccc(C(C)(C)c1ccc(OCCC(O)COC(=O)C(=C)C)cc1)cc2,C=CCOCC(CO)(COCC=C)COCC=C,1.3,"Create a thermoset polymer with Tg = 60°C, Er = 100 MPa, and monomers featuring vinyl(C=C) and vinyl(C=C) groups.","['C=C(C=O)', 'C=C']",mix_generated_responses_large.json
39,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,CCC(C=CCOCC(C)OCC(C)N)(C=CCOCC(C)OCC(C)N)C=CCOCC(C)OCC(C)N,0.8,"Propose two monomers that form a TSMP with Tg around 100°C, Er near 100 MPa, and containing acrylate(C=C(C=O)) and vinyl(C=C) groups.","['C=C(C=O)', 'C=C']",mix_generated_responses_large.json
40,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,0.8,"Propose two monomers that form a TSMP with Tg around 100°C, Er near 100 MPa, and containing acrylate(C=C(C=O)) and vinyl(C=C) groups.","['C=C', 'C=C(C=O)']",mix_generated_responses_large.json
41,C=COC(=O)C(=C)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=Cc1cccc(C=C)c1,1.3,"Propose two monomers that form a TSMP with Tg around 100°C, Er near 100 MPa, and containing acrylate(C=C(C=O)) and vinyl(C=C) groups.","['C=C(C=O)', 'C=C']",mix_generated_responses_large.json
42,C=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,CC1=C([C@H](C(=C(O1)N)C(=O)OC)c2cccc(c2)[N+](=O)[O-])C(=O)C,1.6,"Propose two monomers that form a TSMP with Tg around 100°C, Er near 100 MPa, and containing acrylate(C=C(C=O)) and vinyl(C=C) groups.","['C=C', 'C=C(C=O)']",mix_generated_responses_large.json
