prompt,smile1,smile2,tg_actual,tg_predicted,er_actual,er_predicted,tg_error,er_error
"Propose two monomers that form a TSMP with Tg around 100°C, Er near 100 MPa, and containing acrylate(C=C(C=O)) and vinyl(C=C) groups.",C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=C)C,C=Cc1cccc(C=C)c1,100.0,65.85593,100.0,16.131523,-34.144073486328125,-83.86847686767578
"Propose two monomers that form a TSMP with Tg around 100°C, Er near 100 MPa, and containing acrylate(C=C(C=O)) and vinyl(C=C) groups.",CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,O=c1ccc(=O)n1CCl,100.0,157.97293,100.0,29.143078,57.972930908203125,-70.8569221496582
"Generate a TSMP with Tg = 40°C and Er = 80 MPa, using functional groups epoxy(C1OC1) and imine(NC).",CC(C)(c2ccc(OC1CO1)cc2)c4ccc(OC3CO3)cc4,CCNC(=O)OCC(COC(=O)N)(COC(=O)N)COC(=O)N,40.0,179.03877,80.0,30.887915,139.0387725830078,-49.11208534240723
"Generate a TSMP with Tg = 40°C and Er = 80 MPa, using functional groups epoxy(C1OC1) and imine(NC).",CCC(C)(C4CCC(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,40.0,296.67926,80.0,81.2237,256.67926025390625,1.2237014770507812
"Generate a TSMP with Tg = 40°C and Er = 80 MPa, using functional groups epoxy(C1OC1) and imine(NC).",CC(COc3ccc(C(C)(C)c2ccc(OCC(C)OCC1CO1)cc2)cc3)OCC4CO4,NCC(COCC(C)OCC(C)OCC(C)N)(COCC(C)OCC(C)OCC(C)N)COCC(C)OCC(C)OCC(C)N,40.0,32.897617,80.0,22.653135,-7.102382659912109,-57.34686470031738
"Generate a TSMP with Tg = 100°C and Er = 100 MPa, using functional groups vinyl(C=C) and hydroxyl(=O).",c3cc(N(CC1CC1)CC2CO2)ccc3OCC4CO4,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)N(C)CCS,100.0,166.05486,100.0,45.14302,66.05485534667969,-54.85697937011719
Design a shape memory polymer with Tg ≈ 60°C and Er ≈ 100 MPa that includes vinyl(C=C) and vinyl(C=C) groups.,c1cc(=O)cc(C=C)c(c1OCC(O)COc3cc(C(C)(C)c2cc(=O)cc2)ccc3)Cc6cc(C(C)(C)c5cc(=O)cc5)ccc6,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,60.0,82.01892,100.0,37.22831,22.0189208984375,-62.771690368652344
Design a shape memory polymer with Tg ≈ 60°C and Er ≈ 100 MPa that includes vinyl(C=C) and vinyl(C=C) groups.,c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NCC2(C)CC(C)(C)C(C)(C)C2)CC(C)(C)C1,60.0,94.229996,100.0,34.389683,34.22999572753906,-65.61031723022461
Design a shape memory polymer with Tg ≈ 60°C and Er ≈ 100 MPa that includes vinyl(C=C) and vinyl(C=C) groups.,CC(C)(c2ccc(OC1CO1)cc2)c4ccc(OC3CO3)cc4,NCCCOCCOCCN,60.0,43.005558,100.0,14.738299,-16.994441986083984,-85.26170063018799
Design a shape memory polymer with Tg ≈ 60°C and Er ≈ 100 MPa that includes vinyl(C=C) and vinyl(C=C) groups.,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCNCCN(N)C(N)C(CCN)CCN,60.0,170.3421,100.0,39.54341,110.34210205078125,-60.45658874511719
"Propose two monomers that form a TSMP with Tg around 100°C, Er near 100 MPa, and containing acrylate(C=C(C=O)) and vinyl(C=C) groups.",CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,C=CCc1cccc(C=C)c1,100.0,62.6484,100.0,20.448278,-37.351600646972656,-79.55172157287598
"Propose two monomers that form a TSMP with Tg around 100°C, Er near 100 MPa, and containing acrylate(C=C(C=O)) and vinyl(C=C) groups.",CCCCCCCCC1OC1CCCCCCCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,CC1(C)CC(N)CC(C)(CN)C1,100.0,97.35807,100.0,20.275085,-2.6419296264648438,-79.72491455078125
"Propose two monomers that form a TSMP with Tg around 100°C, Er near 100 MPa, and containing acrylate(C=C(C=O)) and vinyl(C=C) groups.",O=C(OCC1CO1)C=C(C)C(=O)OCC2CO2,C=CCOCC(CO)(COCC=C)COCC=C,100.0,72.99888,100.0,22.295156,-27.001121520996094,-77.70484352111816
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 100 MPa that includes vinyl(C=C) and hydroxyl(=O) groups.,C=CC(OCC1CO1)C(=O)OCC3CO3,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,100.0,175.24324,100.0,72.59193,75.24324035644531,-27.40807342529297
"Create a thermoset polymer with Tg = 100°C, Er = 100 MPa, and monomers featuring acrylate(C=C(C=O)) and vinyl(C=C) groups.",C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,CCC(COC(=O)CCSC)(COC(=O)CCSC)COC(=O)CCSC,100.0,51.379063,100.0,21.011858,-48.62093734741211,-78.9881420135498
Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,100.0,141.11128,100.0,150.5651,41.11128234863281,50.565093994140625
Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,c3cc(N(CC1CC1)CC2CO2)ccc3OCC4CO4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,100.0,189.85904,100.0,49.026806,89.85903930664062,-50.97319412231445
Propose two monomers that form a TSMP with Tg = 140°C and Er = 80 MPa.,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NC1(C)CC(C)(C)C1,140.0,94.64102,80.0,27.538551,-45.358978271484375,-52.461448669433594
Create a thermoset polymer with Tg around 40°C and Er near 80 MPa.,Cc3cc(c2cc(C)c(OCC1CO1)c(C)c2)cc(C)c3OCC4CO4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,40.0,169.05571,80.0,37.82399,129.0557098388672,-42.17601013183594
Create a thermoset polymer with Tg around 40°C and Er near 80 MPa.,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,40.0,202.37277,80.0,28.47091,162.37277221679688,-51.529090881347656
Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCc1ccccc1OCC(O)COc2ccccc2CC=C,100.0,68.295685,100.0,24.825367,-31.704315185546875,-75.17463302612305
Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=C)C,100.0,131.64493,100.0,26.690298,31.644927978515625,-73.30970191955566
Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,C=Cc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,100.0,132.08739,100.0,163.26976,32.08738708496094,63.26976013183594
Propose two monomers that form a TSMP with Tg = 140°C and Er = 80 MPa.,c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4,CC(C)(C)NCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)N(C)CC(C)(CN)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)N(C)CC(C)(CN)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)N(C)CC(C)(CN)COCCO,140.0,457.9864,80.0,153.97995,317.98638916015625,73.97994995117188
Suggest a polymer system for Tg ≈ 40°C and Er ≈ 80 MPa.,CC(COC(=O)CCc3ccc(S(=O)(=O)c2ccc(OCC(C)OCC1CO1)cc2)cc3)OCC4CO4,CCC(COCC(C)OCC(C)OCC(C)N)(COCC(C)OCC(C)OCC(C)N)COCC(C)OCC(C)OCC(C)N,40.0,112.5549,80.0,41.902378,72.55490112304688,-38.09762191772461
Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,CC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,100.0,63.12751,100.0,27.886217,-36.87248992919922,-72.11378288269043
Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,c1ccc3c(c1)c2ccccc2C3(c5ccc(OCCOCC4CO4)cc5)c7ccc(OCCOCC6CO6)cc7,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,100.0,272.45746,100.0,58.691944,172.45745849609375,-41.30805587768555
Design a TSMP with a glass transition temperature of 150°C and an elastic recovery of 200 MPa.,Cc3cc(c2cc(C)c(OCC1CO1)c(C)c2)cc(C)c3OCC4CO4,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,150.0,175.48047,200.0,40.318745,25.48046875,-159.68125534057617
Design a TSMP with a glass transition temperature of 150°C and an elastic recovery of 200 MPa.,c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6,NCNCCN,150.0,156.32596,200.0,131.0033,6.325958251953125,-68.9967041015625
Design a TSMP with a glass transition temperature of 150°C and an elastic recovery of 200 MPa.,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,150.0,90.99416,200.0,24.741127,-59.005836486816406,-175.25887298583984
Propose two monomers that form a TSMP with Tg = 140°C and Er = 80 MPa.,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,C=CCC(COC(=O)CCS)OCC(O)COC(=O)CCS,140.0,135.82582,80.0,32.468388,-4.1741790771484375,-47.531612396240234
Suggest a polymer system for Tg ≈ 60°C and Er ≈ 100 MPa.,CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4,NCCCOCCOCCN,60.0,45.45843,100.0,15.3819475,-14.541568756103516,-84.61805248260498
Suggest a polymer system for Tg ≈ 60°C and Er ≈ 100 MPa.,CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,NCCCOCCOCCN,60.0,80.24748,100.0,23.052849,20.247482299804688,-76.94715118408203
Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,CC(C)(C4CCC(OCC(O)C3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6,CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,100.0,71.37947,100.0,38.501076,-28.620529174804688,-61.498924255371094
Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,100.0,156.04405,100.0,27.916733,56.04405212402344,-72.08326721191406
Suggest a polymer system for Tg ≈ 40°C and Er ≈ 80 MPa.,C=C(C)C(=O)OCCCCCCC(=O)OCC(C)(C)COC(=O)C(=C)C,C=Cc1cccc(C=C)c1,40.0,76.22956,80.0,23.535204,36.22956085205078,-56.46479606628418
Suggest a polymer system for Tg ≈ 40°C and Er ≈ 80 MPa.,C=CCC(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(=O)COC(=O)C=C)cc1)cc2,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)(C)C(=O)C(=C)C,40.0,85.80976,80.0,27.819145,45.80976104736328,-52.18085479736328
Suggest a polymer system for Tg ≈ 40°C and Er ≈ 80 MPa.,C=C(C)C(=O)OCCCCCCC(=O)OCC(C)(C)COC(=O)C(=C)C,C=C(C)C(=O)OCC(O)COc2ccc(C(C)c1ccc(OCC(C)OCC(C)CC1CO1)cc1)cc2,40.0,91.50694,80.0,35.99063,51.50694274902344,-44.009368896484375
Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,CCC(COC(=CCS)COCC)(COC(=CCS)CCS)COC(=CCS)CCC(COCC)(COCC)COCC,100.0,94.66115,100.0,24.639116,-5.3388519287109375,-75.36088371276855
Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,NCCOCCOCCCN,100.0,80.24748,100.0,23.052849,-19.752517700195312,-76.94715118408203
Generate a thermoset shape memory polymer with Tg = 60°C and Er = 100 MPa.,c3cc(N(CC1CO1)CC2CO2)ccc3,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)OCC(COCC(C)OCC(C)OCC(C)N)CC(C)OCC(C)OCC(C)N,60.0,184.19443,100.0,23.100359,124.19442749023438,-76.8996410369873
Generate a thermoset shape memory polymer with Tg = 60°C and Er = 100 MPa.,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OC(=O)N,60.0,115.514175,100.0,35.431602,55.51417541503906,-64.56839752197266
Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CCC(COCC(O)COCC(C)CCCCC)CC(COCC(O)COCC(C)CCCCC)CC(COCC(O)COCC(C)OCC(C)N)CC(CCOCC(O)COCC(C)OCC(C)N)CC(C)OCC(O)C,100.0,203.94238,100.0,22.46254,103.9423828125,-77.53746032714844
Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,c3cc(N(CC1CC1)CC2CO2)ccc3OCC4CO4,CC(N)COCC(C)OCC(C)NCC(C)OCC(C)OCC(C)OCC(C)NCC(C)OCC(C)OCC(C)NCCC1(C)CC(C)(C)C1CC(C)/COCC(C)/COCC(C)/COCC(C)/CCS,100.0,199.46074,100.0,30.344078,99.46073913574219,-69.65592193603516
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,40.0,52.375614,80.0,20.911512,12.375614166259766,-59.08848762512207
"Suggest a TSMP system that satisfies Tg = 140°C and Er = 80 MPa, incorporating thiol(CCS) and vinyl(C=C) functionalities.",C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,140.0,74.945175,80.0,31.47378,-65.05482482910156,-48.52622032165527
"Suggest a TSMP system that satisfies Tg = 140°C and Er = 80 MPa, incorporating thiol(CCS) and vinyl(C=C) functionalities.",O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,113.66723,80.0,151.77823,-26.33277130126953,71.77822875976562
"Suggest a TSMP system that satisfies Tg = 140°C and Er = 80 MPa, incorporating thiol(CCS) and vinyl(C=C) functionalities.",C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,140.0,81.45177,80.0,32.52658,-58.54823303222656,-47.473419189453125
"Suggest a TSMP system that satisfies Tg = 140°C and Er = 80 MPa, incorporating thiol(CCS) and vinyl(C=C) functionalities.",C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,140.0,74.945175,80.0,31.47378,-65.05482482910156,-48.52622032165527
"Suggest a TSMP system that satisfies Tg = 140°C and Er = 80 MPa, incorporating thiol(CCS) and vinyl(C=C) functionalities.",O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,113.66723,80.0,151.77823,-26.33277130126953,71.77822875976562
"Suggest a TSMP system that satisfies Tg = 140°C and Er = 80 MPa, incorporating thiol(CCS) and vinyl(C=C) functionalities.",C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,140.0,74.945175,80.0,31.47378,-65.05482482910156,-48.52622032165527
"Generate a TSMP with Tg = 100°C and Er = 100 MPa, using functional groups acrylate(C=C(C=O)) and vinyl(C=C).",CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,100.0,215.1902,100.0,32.37308,115.19020080566406,-67.62691879272461
"Generate a TSMP with Tg = 100°C and Er = 100 MPa, using functional groups acrylate(C=C(C=O)) and vinyl(C=C).",CC(C)(c2ccc(OC1CO1)cc2)c4ccc(OC3CO3)cc4,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,100.0,208.59966,100.0,38.940613,108.59965515136719,-61.05938720703125
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,CCCCCCCCCCCN,40.0,86.029785,80.0,25.036154,46.02978515625,-54.96384620666504
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,CCCCCCCCCCCN,40.0,86.029785,80.0,25.036154,46.02978515625,-54.96384620666504
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,CCCCCCCCCCCN,40.0,86.029785,80.0,25.036154,46.02978515625,-54.96384620666504
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,CCCCCCCCCCCN,40.0,86.029785,80.0,25.036154,46.02978515625,-54.96384620666504
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,40.0,105.83484,80.0,39.775837,65.8348388671875,-40.22416305541992
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,CCCCCCCCCCCN,40.0,86.029785,80.0,25.036154,46.02978515625,-54.96384620666504
