prompt,smile1,smile2,tg_actual,tg_predicted,er_actual,er_predicted,tg_error,er_error,model,er_tg_difference
Design a shape memory polymer with Tg ≈ 140°C and Er ≈ 80 MPa that includes thiol(CCS) and vinyl(C=C) groups.,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,O,140.0,78.230415,80.0,79.735306,-61.76958465576172,-0.2646942138671875,GPT4o,1.5048904
"Create a thermoset polymer with Tg = 60°C, Er = 100 MPa, and monomers featuring vinyl(C=C) and vinyl(C=C) groups.",C1OC1COC3COC4C(OC2CO2)COC34,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,60.0,46.47642,100.0,46.978447,-13.523578643798828,-53.02155303955078,GPT4o,0.5020256
"Suggest a TSMP system that satisfies Tg = 100°C and Er = 100 MPa, incorporating acrylate(C=C(C=O)) and vinyl(C=C) functionalities.",CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4,O=C1CCCC(=O)O1,100.0,91.78593,100.0,226.73535,-8.214073181152344,126.7353515625,Llama32,134.94943
Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,C1OSCCCCCCC1OCC(COCC(S/C)COCC=C)COCC=C,CC(N)COCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(N)N,100.0,109.10347,100.0,133.74928,9.103469848632812,33.74928283691406,Llama32,24.645813
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 100 MPa that includes acrylate(C=C(C=O)) and vinyl(C=C) groups.,C(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,C(C)N(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,100.0,63.73528,100.0,78.30534,-36.26472091674805,-21.694656372070312,Llama32,14.570065
"Create a thermoset polymer with Tg = 140°C, Er = 80 MPa, and monomers featuring thiol(CCS) and vinyl(C=C) groups.",CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,141.15146,80.0,151.28636,1.151458740234375,71.28636169433594,Llama32,10.134903
Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,100.0,141.11128,100.0,150.5651,41.11128234863281,50.565093994140625,Llama32,9.453812
Design a shape memory polymer with Tg ≈ 140°C and Er ≈ 80 MPa that includes thiol(CCS) and vinyl(C=C) groups.,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,90.09161,80.0,128.1907,-49.90838623046875,48.190704345703125,MistralAI,38.09909
Create a thermoset polymer with Tg around 150°C and Er near 200 MPa.,C=CC(=O)OCCCC,C=CC(=O)OCCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,150.0,149.23302,200.0,184.99648,-0.7669830322265625,-15.003524780273438,MistralAI,35.76346
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 100 MPa that includes vinyl(C=C) and hydroxyl(=O) groups.,c3cc(N(CC1CC1)CC2CO2)ccc3OCC4CO4,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,100.0,213.55295,100.0,230.82175,113.55294799804688,130.82174682617188,MistralAI,17.268799
Create a thermoset polymer with Tg around 150°C and Er near 200 MPa.,O=C1CCC(=O)O1,CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N,150.0,131.33182,200.0,141.11163,-18.668182373046875,-58.88836669921875,MistralAI,9.779816
"Generate a TSMP with Tg = 100°C and Er = 100 MPa, using functional groups acrylate(C=C(C=O)) and vinyl(C=C).",CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,100.0,95.33591,100.0,97.88546,-4.664093017578125,-2.1145401000976562,MistralAI,2.549553
"Generate a TSMP with Tg = 140°C and Er = 80 MPa, using functional groups thiol(CCS) and vinyl(C=C).",C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,66.21609,80.0,68.52083,-73.7839126586914,-11.479171752929688,MistralAI,2.304741
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)CC(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6,CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,40.0,54.820683,80.0,191.3053,14.820682525634766,111.3052978515625,GPT4o,136.48462
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",C0CC(C)(c2ccc(OCCOCC1CO1)cc2)c0,CC(N)COCC(C)OCC(C)OCC(C)N,40.0,42.6038,80.0,88.95888,2.603801727294922,8.958877563476562,GPT4o,46.355076
Design a shape memory polymer with Tg ≈ 140°C and Er ≈ 80 MPa that includes thiol(CCS) and vinyl(C=C) groups.,C1OC1COC3COC4C(OC2CO2)COC34,C=CCc1ccccc1OCC(O)COC(=O)CCN,140.0,60.265575,80.0,79.95834,-79.73442459106445,-0.041656494140625,GPT4o,19.692768
Generate a thermoset shape memory polymer with Tg = 150°C and Er = 200 MPa.,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,Nc2ccc(OCC1CO1)cc2Cc6ccc(N)cc6Cc5ccc(N)cc5Cc3ccc(N)cc3Cc2ccc(N)cc2C(=O)OCC4CO4,150.0,89.151985,200.0,103.713165,-60.84801483154297,-96.28683471679688,GPT4o,14.56118
Generate a thermoset shape memory polymer with Tg = 150°C and Er = 200 MPa.,C=CC(=O)OCCn1c(=O)n(CCOC(=O)CCC)c(=O)n(CCOC(=O)CCS)c1=O,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,150.0,118.742065,200.0,122.888145,-31.2579345703125,-77.11185455322266,GPT4o,4.14608
Design a shape memory polymer with Tg ≈ 140°C and Er ≈ 80 MPa that includes thiol(CCS) and vinyl(C=C) groups.,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,O,140.0,78.230415,80.0,79.735306,-61.76958465576172,-0.2646942138671875,GPT4o,1.5048904
"Create a thermoset polymer with Tg = 60°C, Er = 100 MPa, and monomers featuring vinyl(C=C) and vinyl(C=C) groups.",C1OC1COC3COC4C(OC2CO2)COC34,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,60.0,46.47642,100.0,46.978447,-13.523578643798828,-53.02155303955078,GPT4o,0.5020256
"Suggest a TSMP system that satisfies Tg = 100°C and Er = 100 MPa, incorporating acrylate(C=C(C=O)) and vinyl(C=C) functionalities.",CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4,O=C1CCCC(=O)O1,100.0,91.78593,100.0,226.73535,-8.214073181152344,126.7353515625,Llama32,134.94943
Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,C1OSCCCCCCC1OCC(COCC(S/C)COCC=C)COCC=C,CC(N)COCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(N)N,100.0,109.10347,100.0,133.74928,9.103469848632812,33.74928283691406,Llama32,24.645813
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 100 MPa that includes acrylate(C=C(C=O)) and vinyl(C=C) groups.,C(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,C(C)N(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,100.0,63.73528,100.0,78.30534,-36.26472091674805,-21.694656372070312,Llama32,14.570065
"Create a thermoset polymer with Tg = 140°C, Er = 80 MPa, and monomers featuring thiol(CCS) and vinyl(C=C) groups.",CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,141.15146,80.0,151.28636,1.151458740234375,71.28636169433594,Llama32,10.134903
Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,100.0,141.11128,100.0,150.5651,41.11128234863281,50.565093994140625,Llama32,9.453812
Design a shape memory polymer with Tg ≈ 140°C and Er ≈ 80 MPa that includes thiol(CCS) and vinyl(C=C) groups.,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,90.09161,80.0,128.1907,-49.90838623046875,48.190704345703125,MistralAI,38.09909
Create a thermoset polymer with Tg around 150°C and Er near 200 MPa.,C=CC(=O)OCCCC,C=CC(=O)OCCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,150.0,149.23302,200.0,184.99648,-0.7669830322265625,-15.003524780273438,MistralAI,35.76346
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 100 MPa that includes vinyl(C=C) and hydroxyl(=O) groups.,c3cc(N(CC1CC1)CC2CO2)ccc3OCC4CO4,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,100.0,213.55295,100.0,230.82175,113.55294799804688,130.82174682617188,MistralAI,17.268799
Create a thermoset polymer with Tg around 150°C and Er near 200 MPa.,O=C1CCC(=O)O1,CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N,150.0,131.33182,200.0,141.11163,-18.668182373046875,-58.88836669921875,MistralAI,9.779816
"Generate a TSMP with Tg = 100°C and Er = 100 MPa, using functional groups acrylate(C=C(C=O)) and vinyl(C=C).",CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,100.0,95.33591,100.0,97.88546,-4.664093017578125,-2.1145401000976562,MistralAI,2.549553
"Generate a TSMP with Tg = 140°C and Er = 80 MPa, using functional groups thiol(CCS) and vinyl(C=C).",C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,66.21609,80.0,68.52083,-73.7839126586914,-11.479171752929688,MistralAI,2.304741
Suggest a polymer system for Tg ≈ 40°C and Er ≈ 80 MPa.,c2ccc(OCC1CO1)cc2C(=O)O,CCCC(=O)OCCCC(C)(C)C,40.0,59.802006,80.0,139.00603,19.802005767822266,59.00602722167969,DeepSeek,79.204025
Create a thermoset polymer with Tg around 150°C and Er near 200 MPa.,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,O=C1CC(=O)O1,150.0,99.3449,200.0,175.71214,-50.65509796142578,-24.287857055664062,DeepSeek,76.36724
Suggest a polymer system for Tg ≈ 60°C and Er ≈ 100 MPa.,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,O=c1oc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,60.0,70.53098,100.0,145.26352,10.530982971191406,45.263519287109375,DeepSeek,74.73254
"Suggest a TSMP system that satisfies Tg = 60°C and Er = 100 MPa, incorporating vinyl(C=C) and vinyl(C=C) functionalities.",C=CCOCC(O)COc3ccc(C(C)(C)c2ccc(OCC(C)(C)CCOCC1CO1)cc2)cc3,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,60.0,204.49152,100.0,266.96463,144.49151611328125,166.96463012695312,DeepSeek,62.473114
"Create a thermoset polymer with Tg = 100°C, Er = 100 MPa, and monomers featuring acrylate(C=C(C=O)) and vinyl(C=C) groups.",O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,C=C(C)C(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,100.0,172.58875,100.0,212.24165,72.5887451171875,112.24165344238281,DeepSeek,39.65291
"Suggest a TSMP system that satisfies Tg = 140°C and Er = 80 MPa, incorporating thiol(CCS) and vinyl(C=C) functionalities.",O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,113.66723,80.0,151.77823,-26.33277130126953,71.77822875976562,DeepSeek,38.111
"Suggest a TSMP system that satisfies Tg = 140°C and Er = 80 MPa, incorporating thiol(CCS) and vinyl(C=C) functionalities.",O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,113.66723,80.0,151.77823,-26.33277130126953,71.77822875976562,DeepSeek,38.111
"Create a thermoset polymer with Tg = 140°C, Er = 80 MPa, and monomers featuring thiol(CCS) and vinyl(C=C) groups.",O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,113.66723,80.0,151.77823,-26.33277130126953,71.77822875976562,DeepSeek,38.111
"Create a thermoset polymer with Tg = 140°C, Er = 80 MPa, and monomers featuring thiol(CCS) and vinyl(C=C) groups.",O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,113.66723,80.0,151.77823,-26.33277130126953,71.77822875976562,DeepSeek,38.111
Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,C=Cc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,100.0,132.08739,100.0,163.26976,32.08738708496094,63.26976013183594,DeepSeek,31.182373
"Generate a TSMP with Tg = 140°C and Er = 80 MPa, using functional groups thiol(CCS) and vinyl(C=C).",CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,141.15146,80.0,151.28636,1.151458740234375,71.28636169433594,DeepSeek,10.134903
Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,100.0,141.11128,100.0,150.5651,41.11128234863281,50.565093994140625,DeepSeek,9.453812
"Propose two monomers that form a TSMP with Tg around 140°C, Er near 80 MPa, and containing thiol(CCS) and vinyl(C=C) groups.",CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,144.27826,80.0,146.4432,4.27825927734375,66.44320678710938,DeepSeek,2.1649475
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)CC(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6,CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,40.0,54.820683,80.0,191.3053,14.820682525634766,111.3052978515625,GPT4o,136.48462
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 100 MPa that includes acrylate(C=C(C=O)) and vinyl(C=C) groups.,C(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,C(C)N(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,100.0,63.73528,100.0,78.30534,-36.26472091674805,-21.694656372070312,Llama32,14.570065
Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,100.0,141.11128,100.0,150.5651,41.11128234863281,50.565093994140625,Llama32,9.453812
"Generate a TSMP with Tg = 140°C and Er = 80 MPa, using functional groups thiol(CCS) and vinyl(C=C).",C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,66.21609,80.0,68.52083,-73.7839126586914,-11.479171752929688,MistralAI,2.304741
Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,C=Cc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,100.0,132.08739,100.0,163.26976,32.08738708496094,63.26976013183594,DeepSeek,31.182373
Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,100.0,141.11128,100.0,150.5651,41.11128234863281,50.565093994140625,DeepSeek,9.453812
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)CC(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6,CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,40.0,54.820683,80.0,191.3053,14.820682525634766,111.3052978515625,GPT4o,136.48462
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 100 MPa that includes acrylate(C=C(C=O)) and vinyl(C=C) groups.,C(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,C(C)N(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,100.0,63.73528,100.0,78.30534,-36.26472091674805,-21.694656372070312,Llama32,14.570065
Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,100.0,141.11128,100.0,150.5651,41.11128234863281,50.565093994140625,Llama32,9.453812
"Generate a TSMP with Tg = 140°C and Er = 80 MPa, using functional groups thiol(CCS) and vinyl(C=C).",C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,66.21609,80.0,68.52083,-73.7839126586914,-11.479171752929688,MistralAI,2.304741
Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,C=Cc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,100.0,132.08739,100.0,163.26976,32.08738708496094,63.26976013183594,DeepSeek,31.182373
Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,100.0,141.11128,100.0,150.5651,41.11128234863281,50.565093994140625,DeepSeek,9.453812
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)CC(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6,CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,40.0,54.820683,80.0,191.3053,14.820682525634766,111.3052978515625,GPT4o,136.48462
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",C0CC(C)(c2ccc(OCCOCC1CO1)cc2)c0,CC(N)COCC(C)OCC(C)OCC(C)N,40.0,42.6038,80.0,88.95888,2.603801727294922,8.958877563476562,GPT4o,46.355076
Design a shape memory polymer with Tg ≈ 140°C and Er ≈ 80 MPa that includes thiol(CCS) and vinyl(C=C) groups.,C1OC1COC3COC4C(OC2CO2)COC34,C=CCc1ccccc1OCC(O)COC(=O)CCN,140.0,60.265575,80.0,79.95834,-79.73442459106445,-0.041656494140625,GPT4o,19.692768
Generate a thermoset shape memory polymer with Tg = 150°C and Er = 200 MPa.,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,Nc2ccc(OCC1CO1)cc2Cc6ccc(N)cc6Cc5ccc(N)cc5Cc3ccc(N)cc3Cc2ccc(N)cc2C(=O)OCC4CO4,150.0,89.151985,200.0,103.713165,-60.84801483154297,-96.28683471679688,GPT4o,14.56118
Generate a thermoset shape memory polymer with Tg = 150°C and Er = 200 MPa.,C=CC(=O)OCCn1c(=O)n(CCOC(=O)CCC)c(=O)n(CCOC(=O)CCS)c1=O,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,150.0,118.742065,200.0,122.888145,-31.2579345703125,-77.11185455322266,GPT4o,4.14608
