prompt,smile1,smile2,tg_actual,tg_predicted,er_actual,er_predicted,tg_error,er_error
Generate a thermoset shape memory polymer with Tg = 140°C and Er = 80 MPa.,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,CCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,140.0,48.482853,80.0,23.411995,-91.51714706420898,-56.58800506591797
Generate a thermoset shape memory polymer with Tg = 140°C and Er = 80 MPa.,CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4,CCPC(=O)CNCCC(CN)(C)C,140.0,105.41227,80.0,44.8014,-34.587730407714844,-35.19860076904297
Generate a thermoset shape memory polymer with Tg = 140°C and Er = 80 MPa.,Cc3cc(c2cc(C)c(OCC1CO1)c(C(C)(C)C)c2)cc(C(C)(C)C)c3OCC4CO4,CCN(CCS)CCS,140.0,90.177246,80.0,29.543238,-49.82275390625,-50.45676231384277
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 100 MPa that includes vinyl(C=C) and hydroxyl(=O) groups.,c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,100.0,175.71574,100.0,58.178726,75.71574401855469,-41.82127380371094
"Generate a TSMP with Tg = 150°C and Er = 200 MPa, using functional groups vinyl(C=C) and thiol(CCS).",c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,150.0,173.65266,200.0,154.87993,23.652664184570312,-45.12007141113281
"Generate a TSMP with Tg = 150°C and Er = 200 MPa, using functional groups vinyl(C=C) and thiol(CCS).",c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,150.0,69.518,200.0,49.188053,-80.48200225830078,-150.81194686889648
Design a shape memory polymer with Tg ≈ 140°C and Er ≈ 80 MPa that includes thiol(CCS) and vinyl(C=C) groups.,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,140.0,90.09161,80.0,128.1907,-49.90838623046875,48.190704345703125
"Generate a TSMP with Tg = 100°C and Er = 100 MPa, using functional groups acrylate(C=C(C=O)) and vinyl(C=C).",C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,C=C,100.0,82.798676,100.0,30.564041,-17.201324462890625,-69.43595886230469
Design a shape memory polymer with Tg ≈ 150°C and Er ≈ 200 MPa that includes vinyl(C=C) and thiol(CCS) groups.,c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,150.0,70.59981,200.0,52.33627,-79.40019226074219,-147.6637306213379
Design a shape memory polymer with Tg ≈ 150°C and Er ≈ 200 MPa that includes vinyl(C=C) and thiol(CCS) groups.,c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,150.0,69.518,200.0,49.188053,-80.48200225830078,-150.81194686889648
Design a shape memory polymer with Tg ≈ 150°C and Er ≈ 200 MPa that includes vinyl(C=C) and thiol(CCS) groups.,c1ccc3c(c1)c2ccccc2C3(c5ccc(OCCOCC4CO4)cc5)c7ccc(OCCOCC6CO6)cc7,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,150.0,192.4076,200.0,43.040424,42.4075927734375,-156.95957565307617
Design a shape memory polymer with Tg ≈ 150°C and Er ≈ 200 MPa that includes vinyl(C=C) and thiol(CCS) groups.,c1ccc3c(c1)c2ccccc2C3(c5ccc(OCCOCC4CO4)cc5)c7ccc(OCCOCC6CO6)cc7,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,150.0,67.457726,200.0,28.420515,-82.54227447509766,-171.5794849395752
Design a shape memory polymer with Tg ≈ 150°C and Er ≈ 200 MPa that includes vinyl(C=C) and thiol(CCS) groups.,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,150.0,56.647762,200.0,39.09152,-93.35223770141602,-160.9084815979004
"Create a thermoset polymer with Tg = 140°C, Er = 80 MPa, and monomers featuring thiol(CCS) and vinyl(C=C) groups.",CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,140.0,174.80408,80.0,44.73175,34.8040771484375,-35.26824951171875
"Create a thermoset polymer with Tg = 40°C, Er = 80 MPa, and monomers featuring epoxy(C1OC1) and imine(NC) groups.",CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,CCCCCCCN,40.0,85.87848,80.0,24.857056,45.87847900390625,-55.1429443359375
"Generate a TSMP with Tg = 100°C and Er = 100 MPa, using functional groups vinyl(C=C) and hydroxyl(=O).",C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,100.0,170.21873,100.0,28.878754,70.21873474121094,-71.12124633789062
"Generate a TSMP with Tg = 100°C and Er = 100 MPa, using functional groups vinyl(C=C) and hydroxyl(=O).",c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,100.0,173.65266,100.0,154.87993,73.65266418457031,54.87992858886719
"Generate a TSMP with Tg = 100°C and Er = 100 MPa, using functional groups vinyl(C=C) and hydroxyl(=O).",c1ccc3c(c1)c2ccccc2C3(c5ccc(OCCOCC4CO4)cc5)c7ccc(OCCOCC6CO6)cc7,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,100.0,174.68108,100.0,28.941673,74.68107604980469,-71.0583267211914
"Generate a TSMP with Tg = 140°C and Er = 80 MPa, using functional groups thiol(CCS) and vinyl(C=C).",CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,140.0,68.26881,80.0,22.55521,-71.73119354248047,-57.44478988647461
"Generate a TSMP with Tg = 140°C and Er = 80 MPa, using functional groups thiol(CCS) and vinyl(C=C).",CC(=S)COCC(CC)(CO)CO,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,140.0,172.90219,80.0,34.45607,32.902191162109375,-45.54393005371094
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,CCC(N)COC(=O)CCS,40.0,100.68128,80.0,24.665916,60.68128204345703,-55.334083557128906
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N,40.0,63.491142,80.0,42.126167,23.49114227294922,-37.87383270263672
"Suggest a TSMP system that satisfies Tg = 100°C and Er = 100 MPa, incorporating vinyl(C=C) and hydroxyl(=O) functionalities.",C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=C(C)C(C)=O,100.0,65.27098,100.0,19.185892,-34.72901916503906,-80.81410789489746
"Suggest a TSMP system that satisfies Tg = 100°C and Er = 100 MPa, incorporating vinyl(C=C) and hydroxyl(=O) functionalities.",c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,100.0,113.20884,100.0,51.491943,13.208839416503906,-48.508056640625
"Suggest a TSMP system that satisfies Tg = 100°C and Er = 100 MPa, incorporating vinyl(C=C) and hydroxyl(=O) functionalities.",C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(C)=O,100.0,94.728264,100.0,26.194735,-5.271736145019531,-73.80526542663574
"Suggest a TSMP system that satisfies Tg = 100°C and Er = 100 MPa, incorporating vinyl(C=C) and hydroxyl(=O) functionalities.",c3cc(N(CC1CC1)CC2CO2)ccc3OCC4CO4,C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=C)C,100.0,117.06852,100.0,56.16063,17.068519592285156,-43.83937072753906
Design a shape memory polymer with Tg ≈ 150°C and Er ≈ 200 MPa that includes vinyl(C=C) and thiol(CCS) groups.,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,CCSNNCCS,150.0,164.75955,200.0,18.39589,14.759552001953125,-181.60411071777344
Design a shape memory polymer with Tg ≈ 150°C and Er ≈ 200 MPa that includes vinyl(C=C) and thiol(CCS) groups.,C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C,CCCS,150.0,78.38666,200.0,27.36117,-71.61334228515625,-172.63883018493652
Design a shape memory polymer with Tg ≈ 150°C and Er ≈ 200 MPa that includes vinyl(C=C) and thiol(CCS) groups.,CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,150.0,73.580696,200.0,31.963058,-76.41930389404297,-168.0369415283203
Design a shape memory polymer with Tg ≈ 150°C and Er ≈ 200 MPa that includes vinyl(C=C) and thiol(CCS) groups.,Cc3cc(c2cc(C)c(OCC1CO1)c(C)c2)cc(C)c3OCC4CO4,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,150.0,85.67278,200.0,39.719074,-64.32721710205078,-160.28092575073242
Design a shape memory polymer with Tg ≈ 150°C and Er ≈ 200 MPa that includes vinyl(C=C) and thiol(CCS) groups.,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,150.0,171.0153,200.0,52.097782,21.015304565429688,-147.90221786499023
"Propose two monomers that form a TSMP with Tg around 140°C, Er near 80 MPa, and containing thiol(CCS) and vinyl(C=C) groups.",CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,C=CCOCC(CO)(COCC=C)COCC=C,140.0,71.69847,80.0,26.589314,-68.30152893066406,-53.41068649291992
"Generate a TSMP with Tg = 60°C and Er = 100 MPa, using functional groups vinyl(C=C) and vinyl(C=C).",c1ccc3c(c1)c2ccccc2C3(c5ccc(OCCOCC4CO4)cc5)c7ccc(OCCOCC6CO6)cc7,CC(=O)OCCOCCOCCOC(=O)C(OCCOCCOCCOC(=O)C(=C)C)OCCOCCOCCOC(=O)C(=C)C,60.0,168.1973,100.0,27.892988,108.19729614257812,-72.10701179504395
"Generate a TSMP with Tg = 60°C and Er = 100 MPa, using functional groups vinyl(C=C) and vinyl(C=C).",Cc3cc(c2cc(C)c(OCC1CO1)c(C)c2)cc(C)c3OCC4CO4,C=CCOCC(CO)(COCC=C)COCC=C,60.0,72.425514,100.0,24.95852,12.425514221191406,-75.04147911071777
"Generate a TSMP with Tg = 60°C and Er = 100 MPa, using functional groups vinyl(C=C) and vinyl(C=C).",C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1,CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N,60.0,49.32221,100.0,20.187378,-10.677791595458984,-79.8126220703125
"Generate a TSMP with Tg = 60°C and Er = 100 MPa, using functional groups vinyl(C=C) and vinyl(C=C).",c1ccc3c(c1)c2ccccc2C3(c5ccc(OCCOCC4CO4)cc5)c7ccc(OCCOCC6CO6)cc7,C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C,60.0,121.06879,100.0,33.677025,61.06878662109375,-66.3229751586914
"Generate a TSMP with Tg = 60°C and Er = 100 MPa, using functional groups vinyl(C=C) and vinyl(C=C).",O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,60.0,70.9856,100.0,42.881958,10.985603332519531,-57.1180419921875
"Generate a TSMP with Tg = 60°C and Er = 100 MPa, using functional groups vinyl(C=C) and vinyl(C=C).",c1ccc3c(c1)c2ccccc2C3(c5ccc(OCCOCC4CO4)cc5)c7ccc(OCCOCC6CO6)cc7,C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C,60.0,121.06879,100.0,33.677025,61.06878662109375,-66.3229751586914
"Generate a TSMP with Tg = 100°C and Er = 100 MPa, using functional groups acrylate(C=C(C=O)) and vinyl(C=C).",c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6,C=CCOC(CC)(CO)CO,100.0,115.994286,100.0,59.148067,15.994285583496094,-40.851932525634766
"Generate a TSMP with Tg = 100°C and Er = 100 MPa, using functional groups acrylate(C=C(C=O)) and vinyl(C=C).",C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=CC,100.0,78.20537,100.0,23.79838,-21.794631958007812,-76.20162010192871
"Create a thermoset polymer with Tg = 40°C, Er = 80 MPa, and monomers featuring epoxy(C1OC1) and imine(NC) groups.",CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,CC(N)COCC(C)OCC(C)OCC(C)COC(=O)CCS,40.0,72.63463,80.0,31.034985,32.63462829589844,-48.96501541137695
"Create a thermoset polymer with Tg = 40°C, Er = 80 MPa, and monomers featuring epoxy(C1OC1) and imine(NC) groups.",Cc3cc(c2cc(C)c(OCC1CO1)c(C(C)(C)C)c2)cc(C(C)(C)C)c3OCC4CO4,N,40.0,146.5953,80.0,51.039913,106.59530639648438,-28.960086822509766
"Create a thermoset polymer with Tg = 40°C, Er = 80 MPa, and monomers featuring epoxy(C1OC1) and imine(NC) groups.",C1OC1COC3COC4C(OC2CO2)COC34,NCc1cccc(N)c1,40.0,62.48395,80.0,21.859621,22.483951568603516,-58.14037895202637
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 100 MPa that includes vinyl(C=C) and hydroxyl(=O) groups.,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,CC=CC(=O)OC,100.0,65.38544,100.0,17.107187,-34.61456298828125,-82.89281272888184
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 100 MPa that includes vinyl(C=C) and hydroxyl(=O) groups.,CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,100.0,181.30135,100.0,169.85759,81.30134582519531,69.85758972167969
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 100 MPa that includes vinyl(C=C) and hydroxyl(=O) groups.,c1ccc3c(c1)c2ccccc2C3(c5ccc(OCCOCC4CO4)cc5)c7ccc(OCCOCC6CO6)cc7,C=COc1cccc(C=O)c1,100.0,146.30472,100.0,20.661325,46.304718017578125,-79.33867454528809
