SL,SMILE1,SMILE2,Temperature,Prompt,Reactive_groups,Source_File
23,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,C=CCOCC(CO)(COCC=C)COCC=CC(=O)OCC(CO)(COCC=C)COCC=C,0.8,"Propose two monomers that form a TSMP with Tg around 140°C, Er near 80 MPa, and containing thiol(CCS) and vinyl(C=C) groups.","['CCS', 'C=C']",mix_generated_responses.json
24,c3cc(N(CC1CC1)CC2CO2)ccc3OCC4CO4,C[C@H](C(=O)NC1CC1)S(=O)(=O)c2ccccc2Br,1.3,"Suggest a TSMP system that satisfies Tg = 150°C and Er = 200 MPa, incorporating vinyl(C=C) and thiol(CCS) functionalities.","['C1OC1', 'NC']",mix_generated_responses.json
25,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.3,"Generate a TSMP with Tg = 140°C and Er = 80 MPa, using functional groups thiol(CCS) and vinyl(C=C).","['C1OC1', 'NC']",mix_generated_responses.json
26,C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,1.3,"Suggest a TSMP system that satisfies Tg = 100°C and Er = 100 MPa, incorporating acrylate(C=C(C=O)) and vinyl(C=C) functionalities.","['C=C(C=O)', 'C=C']",mix_generated_responses.json
27,CC(=O)C(=Cc1ccc(cc1)S(=O)(=O)C)C(=O)C,C=Cc1cccc(C=C)c1,1.3,"Suggest a TSMP system that satisfies Tg = 100°C and Er = 100 MPa, incorporating acrylate(C=C(C=O)) and vinyl(C=C) functionalities.","['C=C(C=O)', 'C=C']",mix_generated_responses.json
28,C1OC1COC3COC4C(OC2CO2)COC34,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.6,"Suggest a TSMP system that satisfies Tg = 40°C and Er = 80 MPa, incorporating epoxy(C1OC1) and imine(NC) functionalities.","['C1OC1', 'NC']",mix_generated_responses.json
29,c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4,NCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,1.6,"Create a thermoset polymer with Tg = 100°C, Er = 100 MPa, and monomers featuring acrylate(C=C(C=O)) and vinyl(C=C) groups.","['C1OC1', 'NC']",mix_generated_responses.json
30,C=CCC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,2.0,"Propose two monomers that form a TSMP with Tg around 100°C, Er near 100 MPa, and containing vinyl(C=C) and hydroxyl(=O) groups.","['C=C', 'CCS']",mix_generated_responses.json
31,C=Cc1cccc(C=C)c1,CCS(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,2.0,"Propose two monomers that form a TSMP with Tg around 150°C, Er near 200 MPa, and containing vinyl(C=C) and thiol(CCS) groups.","['C=C', 'CCS']",mix_generated_responses.json
32,NCCOC(=O)/C(=C/c1ccccc1)C(=O)OC(C)C,c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N,2.0,Design a shape memory polymer with Tg ≈ 140°C and Er ≈ 80 MPa that includes thiol(CCS) and vinyl(C=C) groups.,"['C=C(C=O)', 'C=C']",mix_generated_responses.json
33,C=CCOC(CC)(CO)COCC[C@]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,2.0,"Create a thermoset polymer with Tg = 60°C, Er = 100 MPa, and monomers featuring vinyl(C=C) and vinyl(C=C) groups.","['C=C', 'CCS']",mix_generated_responses.json
34,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,CC1=C([C@H](C(=C(O1)N)C(=O)OC)c2cccc(c2)[N+](=O)[O-])C(=O)C,2.0,"Generate a TSMP with Tg = 100°C and Er = 100 MPa, using functional groups acrylate(C=C(C=O)) and vinyl(C=C).","['C=C', 'C=C(C=O)']",mix_generated_responses.json
35,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,CC=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,2.0,"Generate a TSMP with Tg = 100°C and Er = 100 MPa, using functional groups acrylate(C=C(C=O)) and vinyl(C=C).","['C=C', 'C=C(C=O)']",mix_generated_responses.json
