SL,SMILE1,SMILE2,Reactive_groups
22,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=C(OC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC,"['C=C', 'C=C(C=O)']"
23,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,C=C(OC(=O)CCS)OCC(=O)CCS,"['C=C', 'CCS']"
24,C=Cc1cccc(C=C)c1,C=C(OC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)OCCOCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOCCOC(=O)C(=O)OCCOCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOCCOC(=O)OCCOCCO,"['C=C', 'C=C(C=O)']"
25,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=CC(=O)OCCn1c(=O)n(CCOCC=C)c(=O)n(CCOCC=C)c1=O,"['C=C(C=O)', 'C=C']"
26,C=Cc1cccc(C=C)c1,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)cc2)=c3)cc4,"['C=C', 'C=C(C=O)']"
27,C=CCOCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,"['CCS', 'C=C']"
28,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,CCC(C=O)(C)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,"['C=C', 'CCS']"
29,C=CCOCC(CO)(COCC=C)COCC=C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,"['C=C', 'CCS']"
30,C=CCOCC(CO)(COCC=C)COCC=C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)C(C)(C)C1,"['C=C', 'CCS']"
31,C=C[C@@H]C(=C)OCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1,"['C=C', 'CCS']"
32,C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=C)C,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,"['C=C', 'CCS']"
33,CC(C)(c2ccc(OC1CO1)cc2)c4ccc(OC3CO3)cc4,C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1,"['C1OC1', 'NC']"
34,O=c1n(CCS)c(=O)n(CCS)c1=O,C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1,"['CCS', 'C=C']"
35,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(C)COc2ccccc2CC=C,"['CCS', 'C=C']"
36,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=C)C,"['CCS', 'C=C']"
37,O=c1n(CCS)c(=O)n(CCS)c1=O,C=CCOCC(CO)(COCC=C)COCC=C,"['CCS', 'C=C']"
38,CCCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,C=CCOCC(CO)(COCC=C)COCC=C,"['CCS', 'C=C']"
39,CCS(=O)OCCS(=O)OCCS(=O)OCCS(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)N,C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C,"['CCS', 'C=C']"
40,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)C(C)(C)C1,"['C=C', 'CCS']"
41,C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1,C=CC(=O)OCCc1ccccc1OCC(=O)C=C,"['C=C', 'C=C(C=O)']"
42,C=CCc1ccccc1OCC(O)COC(=O)C=CC(=O)OCC(O)COc2ccccc2CC=C,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,"['C=C', 'C=C(C=O)']"
43,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=CC(n1c(=O)n(CC=C)c(=O)n(CC=C)c1=O)C=C,"['C=C(C=O)', 'C=C']"
44,C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,C=CCOCCn1c(=O)n(CCOC(=O)CC=C)c(=O)n(CCOC(=O)CC=C)c1=O,"['C=C(C=O)', 'C=C']"
45,c3cc(N(CC1CC1)CC2CO2)ccc3Cc6ccc(N(CC4CC4)CC5CO5)cc6,CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N,"['C1OC1', 'NC']"
46,C1OC1COC3COC4C(OC2CO2)COC34,NCCCOCCOCCCCN,"['C1OC1', 'NC']"
47,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)CC(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6,CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,"['C1OC1', 'NC']"
48,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)C(C)(C)C1,"['C=C', 'CCS']"
49,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,"['C=C', 'CCS']"
50,C=CC(=O)OCC(C)(C)OCC(C)(C)OCC(C)(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C,C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=N)(COCC=N)COCC=N)CC(C)(C)C1,"['C=C(C=O)', 'C=C']"
51,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,C=C(CCS)OCC=C(CCOC(=O)CCS)OC(=O)CCS,"['C=C', 'CCS']"
52,C=C(C)C(=O)OCCOCCOCCOCCOCCC(=O)OCCOCCOCCOCCOC(=O)C(=C)C,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,"['C=C', 'C=C(C=O)']"
53,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=CSc1cccc(C=C)c1,"['C=C(C=O)', 'C=C']"
54,C=C/C(=O)/OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,C=CCOCC(CO)(COCC=C)COCC=C,"['C=C(C=O)', 'C=C']"
55,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,"['C=C', 'C=C(C=O)']"
56,C=CCOCC(CO)(COCC=C)COCC=C,CCC(C=C)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,"['C=C', 'CCS']"
57,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,CC=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,"['C=C', 'C=C(C=O)']"
58,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)cc2)cc3)cc4,C=Cc1cccc(C=C)c1,"['C=C(C=O)', 'C=C']"
59,C=Cc1cccc(C=C)c1,O=c1n(CCS)c(=O)n(CCS)c(=O)n1(CCS),"['C=C', 'CCS']"
60,O=C(OCC1CO1)C3CC2OC3CC2C(=O)OCC4CO4,CCC(COCC(C)COCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,"['C1OC1', 'NC']"
61,c3cc(N(CC1CO1)CC2CO2)ccc3Nc6ccc(S(=O)(=O)c5ccc(OCC4CO4)cc5)cc6,CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,"['C1OC1', 'NC']"
62,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6,c1cc(c2nccc(=O)n2c1)SC(=O)N3CCSCC3,"['C1OC1', 'NC']"
63,C=Cc1cccc(C=C)c1,CCS(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,"['C=C', 'CCS']"
64,C(c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N)N)F,C[NH+]1CCN(CC1)C2=C(C(=O)c3ccccc3C2=O)Cl,"['C=C', 'C=C(C=O)']"
65,O=C(OCC1CO1)C3CCCC2OC2CC3C(=O)OCC4CO4,CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N,"['C1OC1', 'NC']"
66,Cc3cc(c2cc(C)c(OCCOCCOCCOC1CO1)cc2)cc(C)c3OCCOCCOCCC4CO4,CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,"['C1OC1', 'NC']"
67,c3cc(N(CC1CC1)CC2CO2)ccc3OCC4CO4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,"['C1OC1', 'NC']"
68,CC(C)(C2CCC(OCC1CO1)CC2C(C)(C)C)OCC3CO3,CCC(COCC(C)COCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,"['C1OC1', 'NC']"
69,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,CC1(C)CC(N)CC(C)(N)C1,"['C1OC1', 'NC']"
70,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,CC1=C([C@H](C(=C(O1)N)C(=O)OC)c2cccc(c2)[N+](=O)[O-])C(=O)C,"['C=C', 'C=C(C=O)']"
71,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,CCC(C=C)(C)OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,"['C=C', 'C=C(C=O)']"
72,CC(C)(c2ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCC3CO3)cc4,NCc1cccc(CN)c1,"['C1OC1', 'NC']"
73,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,"['C1OC1', 'NC']"
74,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,"['C1OC1', 'NC']"
75,c1ccc3c(c1)c2ccccc2C3(c5ccc(OCCOCC4CO4)cc5)c7ccc(OCCOCC6CO6)cc7,CC(C)(c3ccc2OCN(c1ccc(C)c(N)c1)Cc2c3)c5ccc4OCN(c6ccc(C)c(N)c6)Cc4c5,"['C1OC1', 'NC']"
76,BB(COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)Cc4ccc(OCC3CO3)cc4,CC1(C)CC(N)CC(C)(CN)C1,"['C1OC1', 'NC']"
77,c1cc(c2nccc(=O)n2c1)SC(=O)N3CCSCC3,CCC1=C([C@H](C(=C(O1)N)C(=O)OC)c2cccc(c2)[N+](=O)[O-])C(=O)C,"['CCS', 'C=C']"
78,c1cc(ccc1N2C(=O)C=CC2=O)I,c1ccc2c(c1)CCC3=C2OC(=C([C@@H]3c4cccs4)C#N),"['C=C(C=O)', 'C=C']"
79,C1OC1COC3COC4C(OC2CO2)COC34,NCC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N,"['C1OC1', 'NC']"
80,c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6,CC(N)COCC(C)OCC(C)OCC(C)OCC(O)CC(O)CC(O)CC(O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)N,"['C1OC1', 'NC']"
81,CC(COc3ccc(C(C)(C)c2ccc(OCC(C)OCC1CO1)cc2)cc3)OCC4CO4,NC(CN)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,"['C1OC1', 'NC']"
82,CC(C(COc3ccc(C(C)(C)c2ccc(OCC(C)OCC1CO1)cc2)cc3)OCC4CO4)OCC5CO5,CC(CN)CCCN,"['C1OC1', 'NC']"
83,c3cc(NCC1CO1)ccc3Cc6ccc(NCC5CO5)cc6,CC(N)COCC(C)OCC(C)OCC(C)N,"['C1OC1', 'NC']"
84,C1=CC(=O)N(C(=O)/C1=C(\C)/Nc2ccccc2N)[O-],CC1=C([C@H](C(=C(O1)N)C(=O)OC)c2cccc(c2)[N+](=O)[O-])C(=O)C,"['C=C', 'C=C(C=O)']"
85,C=C1CCC(=O)OCC1OC(=O)C2CCC(C=C)C2,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,"['C=C', 'CCS']"
86,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,c1cc(c2nccc(=O)n2c1)SC(=O)N3CCSCC3,"['C1OC1', 'NC']"
87,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,OCCCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,"['C=C', 'CCS']"
88,C=CC(=O)C(=Cc1ccc(cc1)S(=O)(=O)C)C(=O)C,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,"['C=C', 'CCS']"
89,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,CCC(C=C=Cn1cc(c(=O)c2c1cc(c(c2)F)Cl)C(=O)[O-])C(=O)C,"['C=C(C=O)', 'C=C']"
90,C=C(CCS)OCC(COC(=O)C=C)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1,C=CCOCC(CO)(COCC=C)COCC=C,"['CCS', 'C=C']"
91,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,C=C=Cn1cc(c(=O)c2c1cc3c(c2)OCO3)C(=O)[O-],"['CCS', 'C=C']"
92,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,CC\1=NC(=O)C(=C/C1=C\2/C=CN3C=CNC3=C2)C#N,"['CCS', 'C=C']"
93,C=CC(O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,"['C=C', 'C=C(C=O)']"
94,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,CC\1=CC(=O)N(C(=O)/C1=C(\C)/Nc2ccccc2N)[O-],"['CCS', 'C=C']"
95,C=C(CCS)OCC(COC(=O)C=C)COC(=O)C=C,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,"['C=C(C=O)', 'C=C']"
96,C=C(C)C(=O)OCCC(O)COc2ccc(C(C)(C)c1ccc(OCCC(O)COC(=O)C(=C)C)cc1)cc2,C=CCOCC(CO)(COCC=C)COCC=C,"['C=C(C=O)', 'C=C']"
97,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,CCC(C=CCOCC(C)OCC(C)N)(C=CCOCC(C)OCC(C)N)C=CCOCC(C)OCC(C)N,"['C=C(C=O)', 'C=C']"
98,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,"['C=C', 'C=C(C=O)']"
99,C=COC(=O)C(=C)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=Cc1cccc(C=C)c1,"['C=C(C=O)', 'C=C']"
100,C=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,CC1=C([C@H](C(=C(O1)N)C(=O)OC)c2cccc(c2)[N+](=O)[O-])C(=O)C,"['C=C', 'C=C(C=O)']"
