SL,Monomer 1,Monomer 2
38,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)C(=O)N1
39,CC(C)(c2ccc(OCCOCCOCCOCC1CC1)cc2)c4ccc(OCCOCCOCCOCC3CC3)cc4,NCCOCCOCCOCCN
40,C=CC(=C)OCCn1c(=O)n(CCOC(=C)C)o1,CCCC(=O)OCC(COC(=O)CC)(COC(=O)CC)COC(=O)CC
41,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1
42,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,CC(C)(c4cc(C(C)(C)c5cc(CCCCCC2=CC=CC=C2)cc4)cc5)cc1cc(C(C)(C)c2cc(CCCCCC4=CC=CC=C4)cc1)cc3cc(CCCCCC6=CC=CC=C6)cc3
43,C=C(C)C(=O)OCCOC(=O)C(=C)C,C=C(CCS)CC(C)=O
44,O=C(OCC1CO1)NCC4COC4N(CC(C)C(C)C(C)COC3CO3)CC2COC2N(CC(C)C(C)C(C)COC6CO6)CC7COC7C(=O)N(CC(C)C(C)C(C)OCC5CO5)CC8COC8C(=O)N(CC(C)C(C)OCC11CO11)CC10COC10C(=O)N(CC(C)C(C)OCC9CO9)CC(C)(C)C(=O)OCC15CO15,O=C(CCCS)N1CCC(C)(C)C1
45,C=CC(=O)OCCCCCC(OCC=C)(OCC=C)OCC=C,CCCC(=O)OCC(CC)(COC(=O)CC)COC(=O)CC
46,C=C(C)C(=O)OCCOC(=O)C(=C)C,NCCCCC(=O)OCCOCCOCCN
47,C=C(C)OCC4CO4,C=CCc1cc(C=CC(OCC)(OCC)OCC)c(OC(CC)(CC)C)cc1OCC(OCC)(OCC)COC(=O)c3ccc(Cc2ccc(OCC(C)COC(=O)CC)(CC2)CC1)c3
48,C=C(C)C(=C)OCCn1c(=O)n(C(=O)OCC(C)(C)C)CN1C,CC(COCC(C)OCC(C)OCC(C)OCC1CO1)OC4CO4OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N
49,C=CCc1cccc(C=C)c1,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)OCC(C)=O
50,C=CCc1ccccc1OCC(O)COC(=O)Cc4ccc(C(=O)OCC(O)COc3ccccc3CC=C)cc4,O=c1ccc(=O)n1c4ccc(Cc3ccc(N(CC)CC)cc3)cc4N(CC)CC
51,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
52,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2C=C)cc3,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
53,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O
54,C=C(C)OCC(O)(COC(=O)CC=C)COC(=O)CC=C,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O
55,C=C(C)OCC(O)(COC(=O)CC=C)COC(=O)CC=C,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O
56,C=C(C)C(=O),"C=C = C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC"""
57,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccccc3Cc2ccc(OCC(O)COC(=O)CC=C)cc2,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
58,C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C,CC(C)(c4ccc(OCC(O)COC(=O)CCS)(c3ccc(OCC(O)COC(=O)CCS)cc3)c4)c2ccc(OCC(O)COC(=O)CCS)cc2
59,C=C/C(=O)/O/C1CCC1,C=C/C(=O)/O/C(=O)/OCC/C(=O)OCC
60,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(C)(C)C1
61,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(c6ccc(OCC5CO5)cc6)c8ccc(OCC7CO7)cc8
62,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,CC(C)(C)N
63,C=CCc1ccccc1OCC(O)COC(=O)c3ccc(C(=O)OCC2COC2)cc3,CC(C)(C)N
64,C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C,C=Cc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc3ccccc3CC=C
65,C=CCc1ccc(OCCOCCOCCOC(=O)CC(C)(C)C)cc1,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O
66,C=CCc1ccc(OCCOC(=O)Cc3ccc(C=C)cc3)cc1,C=CCOC(=O)CCn(CC(=O)OCC=C)CC(=O)OCC=C
67,CC=C(C)OCOCCOC(=O)C(CC)(C)C,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O
68,CC=C(C)OCC(OCC=C)(OCC=C)OCC(OCC=C)(COC(=O)CC=C)COC(=O)CC=C,CCC(N)CC(C)(C)N
69,C=C(C)C(=C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS
70,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
71,C=C(C)OCC(O)(COC=C)COC(=O)NCC1CO1,C=C(C)C(=C)OCC(OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC1CO1)C(=C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC2CO2
72,CC=C(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CCCCC(=O)OCC(OCC(O)(C)COC(=O)CCS(=O)(C)(C)C)(OCC(O)(C)COC(=O)CCS(=O)(C)(C)C)OCC(O)(C)COC(=O)CCS(=O)(C)(C)C,CC(=O)OCC1CO1
73,C=CCc1cccc(C=c2cc(CC=C)ccc2)cc1,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C
74,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccccc3Cc2ccc(OCC(O)COC(=O)Cc1ccccc1)cc2,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O
75,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CCCC(=O)OCCCCC
76,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
77,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
78,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC1(C)CC(O)(C)CC1(C)C
79,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O
80,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
81,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC
82,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
83,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC
84,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
85,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
86,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=C(CC)OCC(CO)(CO)CO
87,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=C)OCOC(=O)C(=C)C
88,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
89,C=C(OCC1CO1)C(=O)OCC4CO4,CC(COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N)N
90,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC1(C)CC(O)(C)C1(c6ccc(OCC3CO3)c56)c4ccc(OCC2CO2)c14
91,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS
92,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCC(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)C)CC(C)(C)C1S(=O)(=O)NCC3(C)CC(C2(C)CC(C(C)(C)OCC2CC1)CC1(C)CC(C)(C)CC2(C)CC(C)(C)CC1(C)CC2(C)CC(C)(C)CC4(C)CC(C)(C)C4CC2(C)CC(C)(C)CC3(C)CC
93,C=CCc1cccc(C=c2ccccc2)c1,C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C
94,O=C(OCCOc2ccc(C(=O)OCC(OCC)(OCC)OCC)cc2)C3CC3,CC(CN)CCCN
95,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)=C
96,C=C(C)C(=C)OCOCCOCOCCOCOCCOC(=O)C(=C)C,C=C(CCS(=O)(=O)N)CCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N
97,C=C(C)C(=O)OCCOC2OC2COC(=O)C(=C)C,C=C(CCS(=O)(=O)N)OCC(COC(=O)NCC=C)OC(=O)NCC=C
98,C=C(C)C(=C)OCOCCOC(=O)CC(=C)OCOCCOC(=O)C(C)=C,C=CCOCC(CO)(COCC=C)COCC=C
99,CC(C)(c4ccc(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)c6ccc(OCC5CO5)cc6,O=C(OCCn1c(=O)n(CC(=O)OCC)cn1C)CC(=O)OCC
100,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=C(CCS)tbc(C=C)C(=O)OCCS
101,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)=O
102,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CC(=O)OCC(CO)(CO)CO
103,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CC(=O)OCC(CO)(CO)CO
104,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CC(C)(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
105,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CC(=O)OCC(CO)(CO)CO
106,C=C(C)OCCn1c(=O)n(CCOC(=O)C(C)=O)c(=O)n(CCOC(=O)C(C)=O)c1C,CC(C)(C)OCC(O)CC(O)CC(O)CC(O)C(C)OCC(O)CC(O)CC(O)CC(O)CC(C)OCC(O)CC(O)CC(O)CC(O)C
107,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,CC(C)(C)N
108,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(C)N
109,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(C)N
110,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CC(C)(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC
111,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(C)(C)N
