SL,File_Source,Row_Original,Monomer 1,Monomer 2,Status
18,extracted_monomers_gpt4o_mini_mix-u.csv,25,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(C)(C)CC(C)(C)C1,New_Unique
19,extracted_monomers_gpt4o_mini_mix-u.csv,26,C=C(C)C(=C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,CC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCCCS,New_Unique
20,extracted_monomers_gpt4o_mini_mix-u.csv,28,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=CCC(=O)OCC(COC(=C)CCS)(COC(=O)CC=C)COC(=O)CC=C,New_Unique
21,extracted_monomers_gpt4o_mini_mix-u.csv,29,C=COCC(O)(COC(=C)C)COC(=O)NCC1(C)CC(C)(C)C1,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(C)(C)C1,New_Unique
22,extracted_monomers_gpt4o_mini_mix-u.csv,30,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC,New_Unique
23,extracted_monomers_gpt4o_mini_mix-u.csv,31,C=CCc1ccccc1OCC(O)COC(=O)Cc1ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc1,CCC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,New_Unique
24,extracted_monomers_gpt4o_mini_mix-u.csv,32,C=C(C)C(=C)OCC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COC(=O)C(=C)C)cc2)cc1,CC(C)(C)N,New_Unique
25,extracted_monomers_gpt4o_mini_mix-u.csv,33,C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc1ccccc1CC=C,CCCCC(=O)OCC(COC(=O)CCC)OC(=O)CCCC,New_Unique
26,extracted_monomers_gpt4o_mini_mix-u.csv,34,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)C(=O)N1,New_Unique
27,extracted_monomers_gpt4o_mini_mix-u.csv,35,CC(C)(c1ccc(OCCOCCOCCOCC2CC2)cc1)c1ccc(OCCOCCOCCOCC2CC2)cc1,NCCOCCOCCOCCN,New_Unique
28,extracted_monomers_gpt4o_mini_mix-u.csv,36,C=CC(=C)OCCn1on(CCOC(=C)C)c1=O,CCCC(=O)OCC(COC(=O)CC)(COC(=O)CC)COC(=O)CC,New_Unique
29,extracted_monomers_gpt4o_mini_mix-u.csv,38,C=CCc1ccccc1OCC(O)COC(=O)Cc1ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc1,CC(C)(c4cc(C(C)(C)c5cc(CCCCCC2=CC=CC=C2)cc4)cc5)cc1cc(C(C)(C)c2cc(CCCCCC4=CC=CC=C4)cc1)cc3cc(CCCCCC6=CC=CC=C6)cc3,New_Unique
30,extracted_monomers_gpt4o_mini_mix-u.csv,39,C=C(C)C(=O)OCCOC(=O)C(=C)C,C=C(CCS)CC(C)=O,New_Unique
31,extracted_monomers_gpt4o_mini_mix-u.csv,40,O=C(OCC1CO1)NCC4COC4N(CC(C)C(C)C(C)COC3CO3)CC2COC2N(CC(C)C(C)C(C)COC6CO6)CC7COC7C(=O)N(CC(C)C(C)C(C)OCC5CO5)CC8COC8C(=O)N(CC(C)C(C)OCC11CO11)CC10COC10C(=O)N(CC(C)C(C)OCC9CO9)CC(C)(C)C(=O)OCC15CO15,CC1(C)CCN(C(=O)CCCS)C1,New_Unique
32,extracted_monomers_gpt4o_mini_mix-u.csv,41,C=CCOC(CCCCCOC(=O)C=C)(OCC=C)OCC=C,CCCC(=O)OCC(CC)(COC(=O)CC)COC(=O)CC,New_Unique
33,extracted_monomers_gpt4o_mini_mix-u.csv,42,C=C(C)C(=O)OCCOC(=O)C(=C)C,NCCCCC(=O)OCCOCCOCCN,New_Unique
34,extracted_monomers_gpt4o_mini_mix-u.csv,43,C=C(C)OCC1CO1,C=CCc1cc(C=CC(OCC)(OCC)OCC)c(OC(CC)(CC)C)cc1OCC(OCC)(OCC)COC(=O)c3ccc(Cc2ccc(OCC(C)COC(=O)CC)(CC2)CC1)c3,New_Unique
35,extracted_monomers_gpt4o_mini_mix-u.csv,44,C=C(C)C(=C)OCCN1C(=O)N(C(=O)OCC(C)(C)C)CN1C,CC(COCC(C)OCC(C)OCC(C)OCC1CO1)OC4CO4OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,New_Unique
36,extracted_monomers_gpt4o_mini_mix-u.csv,45,C=CCc1cccc(C=C)c1,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)OCC(C)=O,New_Unique
37,extracted_monomers_gpt4o_mini_mix-u.csv,46,C=CCc1ccccc1OCC(O)COC(=O)Cc1ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc1,CCN(CC)c1ccc(Cc2ccc(N3C(=O)C=CC3=O)c(N(CC)CC)c2)cc1,New_Unique
38,extracted_monomers_gpt4o_mini_mix-u.csv,48,C=CCc1ccccc1OCC(O)COC(=O)Cc1ccc(C(=O)OCC(O)COc2ccccc2C=C)cc1,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,New_Unique
39,extracted_monomers_gpt4o_mini_mix-u.csv,49,C=CCc1ccccc1OCC(O)COC(=O)Cc1ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc1,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,New_Unique
40,extracted_monomers_gpt4o_mini_mix-u.csv,50,C=CCC(=O)OCC(O)(COC(=C)C)COC(=O)CC=C,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,New_Unique
41,extracted_monomers_gpt4o_mini_mix-u.csv,52,C=C(C)C=O,C=C,New_Unique
42,extracted_monomers_gpt4o_mini_mix-u.csv,53,C=CCC(=O)OCC(O)COc1ccc(Cc2ccccc2CC(=O)OCC(O)COc2ccccc2CC=C)cc1,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,New_Unique
43,extracted_monomers_gpt4o_mini_mix-u.csv,54,C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc1ccccc1CC=C,CC(C)(C1=CC(OCC(O)COC(=O)CCS)(c2ccc(OCC(O)COC(=O)CCS)cc2)C=C1)c1ccc(OCC(O)COC(=O)CCS)cc1,New_Unique
44,extracted_monomers_gpt4o_mini_mix-u.csv,55,C=CC(=O)OC1CCC1,C=CC(=O)OC(=O)OCCC(=O)OCC,New_Unique
45,extracted_monomers_gpt4o_mini_mix-u.csv,56,C=C(C)C(=O)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(C)(C)C1,New_Unique
46,extracted_monomers_gpt4o_mini_mix-u.csv,57,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,New_Unique
47,extracted_monomers_gpt4o_mini_mix-u.csv,58,C=CCc1ccccc1OCC(O)COC(=O)Cc1ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc1,CC(C)(C)N,New_Unique
48,extracted_monomers_gpt4o_mini_mix-u.csv,59,C=CCc1ccccc1OCC(O)COC(=O)c1ccc(C(=O)OCC2COC2)cc1,CC(C)(C)N,New_Unique
49,extracted_monomers_gpt4o_mini_mix-u.csv,60,C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc1ccccc1CC=C,C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc1ccccc1C=C,New_Unique
50,extracted_monomers_gpt4o_mini_mix-u.csv,61,C=CCc1ccc(OCCOCCOCCOC(=O)CC(C)(C)C)cc1,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,New_Unique
51,extracted_monomers_gpt4o_mini_mix-u.csv,62,C=CCc1ccc(OCCOC(=O)Cc2ccc(C=C)cc2)cc1,C=CCOC(=O)CCn(CC(=O)OCC=C)CC(=O)OCC=C,New_Unique
52,extracted_monomers_gpt4o_mini_mix-u.csv,63,CC=C(C)OCOCCOC(=O)C(C)(C)CC,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,New_Unique
53,extracted_monomers_gpt4o_mini_mix-u.csv,64,C=CCOC(COC(=O)CC=C)(COC(=O)CC=C)COC(COC(C)=CC)(OCC=C)OCC=C,CCC(N)CC(C)(C)N,New_Unique
54,extracted_monomers_gpt4o_mini_mix-u.csv,65,C=C(C)C(=C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,New_Unique
55,extracted_monomers_gpt4o_mini_mix-u.csv,67,C=COCC(O)(COC(=C)C)COC(=O)NCC1CO1,C=C(C)C(=C)OCC(OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC1CO1)C(=C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC1CO1,New_Unique
56,extracted_monomers_gpt4o_mini_mix-u.csv,68,CC=C(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CCCCC(=O)OCC(OCC(C)(O)COC(=O)CCS(C)(C)(C)=O)(OCC(C)(O)COC(=O)CCS(C)(C)(C)=O)OCC(C)(O)COC(=O)CCS(C)(C)(C)=O,CC(=O)OCC1CO1,New_Unique
57,extracted_monomers_gpt4o_mini_mix-u.csv,69,C=CCc1cccc(C=c2cc(CC=C)ccc2)cc1,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,New_Unique
58,extracted_monomers_gpt4o_mini_mix-u.csv,70,C=CCc1ccccc1OCC(O)COC(=O)Cc1ccccc1Cc1ccc(OCC(O)COC(=O)Cc2ccccc2)cc1,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,New_Unique
59,extracted_monomers_gpt4o_mini_mix-u.csv,71,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CCCCCOC(=O)CCC,New_Unique
60,extracted_monomers_gpt4o_mini_mix-u.csv,74,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC1(O)CC(C)(C)C(C)(C)C1,New_Unique
61,extracted_monomers_gpt4o_mini_mix-u.csv,77,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC,New_Unique
62,extracted_monomers_gpt4o_mini_mix-u.csv,79,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC,New_Unique
63,extracted_monomers_gpt4o_mini_mix-u.csv,82,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=C(CC)OCC(CO)(CO)CO,New_Unique
64,extracted_monomers_gpt4o_mini_mix-u.csv,83,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=C)OCOC(=O)C(=C)C,New_Unique
65,extracted_monomers_gpt4o_mini_mix-u.csv,84,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,New_Unique
66,extracted_monomers_gpt4o_mini_mix-u.csv,85,C=C(OCC1CO1)C(=O)OCC1CO1,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,New_Unique
67,extracted_monomers_gpt4o_mini_mix-u.csv,86,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC1(C)CC(O)(C)C1(cccc(OCC3CO3)c)cccc(OCC2CO2)c,New_Unique
68,extracted_monomers_gpt4o_mini_mix-u.csv,88,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCC(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)C)CC(C)(C)C1S(=O)(=O)NCC3(C)CC(C2(C)CC(C(C)(C)OCC2CC1)CC1(C)CC(C)(C)CC2(C)CC(C)(C)CC1(C)CC2(C)CC(C)(C)CC4(C)CC(C)(C)C4CC2(C)CC(C)(C)CC3(C)CC,New_Unique
69,extracted_monomers_gpt4o_mini_mix-u.csv,89,C=CCc1cccc(C=c2ccccc2)c1,C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,New_Unique
70,extracted_monomers_gpt4o_mini_mix-u.csv,90,CCOC(COC(=O)c1ccc(OCCOC(=O)C2CC2)cc1)(OCC)OCC,CC(CN)CCCN,New_Unique
71,extracted_monomers_gpt4o_mini_mix-u.csv,91,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OC(=O)C(=C)C,New_Unique
72,extracted_monomers_gpt4o_mini_mix-u.csv,92,C=C(C)C(=C)OCOCCOCOCCOCOCCOC(=O)C(=C)C,C=C(CCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N)CCS(N)(=O)=O,New_Unique
73,extracted_monomers_gpt4o_mini_mix-u.csv,93,C=C(C)C(=O)OCCOC1OC1COC(=O)C(=C)C,C=CCNC(=O)OCC(COC(=C)CCS(N)(=O)=O)OC(=O)NCC=C,New_Unique
74,extracted_monomers_gpt4o_mini_mix-u.csv,94,C=C(CC(=O)OCCOCOC(=C)C(=C)C)OCOCCOC(=O)C(=C)C,C=CCOCC(CO)(COCC=C)COCC=C,New_Unique
75,extracted_monomers_gpt4o_mini_mix-u.csv,95,CC(C)(C1=CC=C(OCC(O)COC2CCC(C(C)(C)C3CCC(OCC4CO4)CC3)CC2)CC1)c1ccc(OCC2CO2)cc1,O=C(OCCn1c(=O)n(CC(=O)OCC)cn1C)CC(=O)OCC,New_Unique
76,extracted_monomers_gpt4o_mini_mix-u.csv,96,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=C(CCS)tbc(C=C)C(=O)OCCS,New_Unique
77,extracted_monomers_gpt4o_mini_mix-u.csv,97,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)=O,New_Unique
78,extracted_monomers_gpt4o_mini_mix-u.csv,98,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CC(=O)OCC(CO)(CO)CO,New_Unique
79,extracted_monomers_gpt4o_mini_mix-u.csv,100,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CC(O)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)(C)C,New_Unique
80,extracted_monomers_gpt4o_mini_mix-u.csv,102,C=C(C)OCCn1c(=O)n(CCOC(=O)C(C)=O)c(=O)n(CCOC(=O)C(C)=O)c1C,CC(O)CC(O)CC(O)CC(O)COC(C)CC(O)CC(O)CC(O)CC(O)COC(C)C(O)CC(O)CC(O)CC(O)COC(C)(C)C,New_Unique
81,extracted_monomers_gpt4o_mini_mix-u.csv,103,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,CC(C)(C)N,New_Unique
82,extracted_monomers_gpt4o_mini_mix-u.csv,104,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(C)(C)N,New_Unique
83,extracted_monomers_gpt4o_mini_mix-u.csv,106,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)(C)C,New_Unique
84,extracted_monomers_gpt4o_mini_mix-u.csv,107,CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,CC(C)(C)N,New_Unique
85,extracted_monomers_gpt4o_mini_mix-u.csv,108,C=CCc1cccc(C=C)c1,CC(C)(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)NCC(C)CC(NC(=O)OCC(OCC(O)COC(=O)NCC(C)CC(OCC(C)(C)C(=O)OCC(C)CC(OCC(C)(C)C(=O)OCC(C)CC(OCC(C)(C)C(=O)OCC(C)CC(OCC(C)(C)C(=O)OCC(C)CC(OCC(C)(C)C(=O)OCC(C)CC(OCC(C)(C)C(=O)OCC(C)CC(OCC(C)(C)C(=O)OCC(C)CC(OCC(C)(C)C(=O)OCC(C)CC(OCC(C)(C)C(=O)OCC(C)CC(OCC(C)(C),New_Unique
86,extracted_monomers_gpt4o_mini_mix-u.csv,109,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCC=O,New_Unique
87,extracted_monomers_gpt4o_mini_mix-u.csv,110,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC1CC(O)(CO)CC1(C)C,New_Unique
88,extracted_monomers_gpt4o_mini_mix-u.csv,111,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,New_Unique
89,extracted_monomers_gpt4o_mini_mix-u.csv,112,C=C(C)C(O)Cc1cccc(O)c1,C=C(CCS)OCCN1C(=O)N(CCS)C(=O)N(CCS)C(=O)N(CCS)C1=O,New_Unique
