Fixed Monomer 1,Fixed Monomer 2
CCc1ccc(C(CC)C(C)(C)C(O)O)cc1,C1CC(CC1C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)CC2CC2)C(CS)C(CS)C(CS)
C=CC(=O)OCCCCC(=O)OC=C,OCC(CC(CC(C(O)OCCCS)C(C(O)OCCCS)C(O)OCCCS)C(C(O)OCCCS)C(CCS)C(O)OCCCS)C(CCS)C(O)OCCCS
C=CC1=CC=CC=C1C(C(C=C)C2=CC=CC=C2)C(C)CC,CCCCC(C(S)C)(C(S)C)CC
C=C(C)C(=C)C(=C)N1C(=N)N=C(S1)C(C)C(=C)C,C(CS)CC(CS)CC(CS)OCCOCCOCCOCCO
C=C(C1=CC=CC=C1)C1=CC=CC=C1C=C,C1CC(CC(C1)CS)C(CS)C1CC(C(CC1)CS)C(CS)C
C=C(C1=CC=C(C=C)C=C1)C1=CC=C(C=C)C=C1,C(CS)C(CS)C1=CC=CC=C1
C=C(C)C1=CC=C(C=C)C=C1C(C)C=C(C)C1=CC=C(C=C)C=C1,C1CC(C(C1)CS)C(C(C)CS)C(C)S
C=C(C1=CC=C(C=C1)C=C)C=C,C(C(=O)O)SCC(C(=O)O)SCC(C(=O)O)S
C=CCOC(COC(=CC)C)OC(=CC)C,C(CS)C(CS)C(CS)C
C(SC(C)C)CCC(SC(C)C)CC,C=CC(=O)OCC(C=C)C(=O)O
C=C(C1=CC=C(C=C1)C(C2=CC=C(C=C2)C)C)C=C,C(CS)CN(CCS)C(CS)
C=C(C)C(=C)C(C)(CC(=C)C(C)C)CCC(C)C,CCCC(C(S)C1CCCC1)(C(S)C1CCCCC1)C(S)C
C=CC1=CC=C(C=C)C=C1C(=O)OCC(=O)C(C=C)C1=CC=C(C=C)C=C1,CCCCC(=S)C(S)C(=S)CCCCCC(S)C(=S)C(S)CCCCCC
C=C(C1=CC=C(C=C1)C(C)C(C)C=C)C(C)C(C)C=C,CCCC(CC)CC(C)CC
C=C(C1=CC=CC=C1)C(C1=CC=CC=C1)C=C,C=C(C1=CC=C(C=C)C=C)C(C1=CC=C(C=C)C=C)C
CCC1CCC(C(C)(O)C(O)CC)C1,C=C(C1=CC=C(C=C1)C(C=C)O)O
C=C(C1CC(C=C)C(C1)(C)O)O,C=C(C1=CC(C=C)C(C(=O)O)=C1C(=O)O)
C=CC1=CC=CC=C1C(C=CC2=CC=CC=C2)C=C,CCCCCCC(CC)CC(CC)CCCCC
C=CC1=CC=C(C=C)C=C1C(=O)OCC,C=CC1=CC(=C(C=C)C(=O)O)C=C1O
C=C(C)C(=O)OCC(C)C(=O)OCC=C(C)C,C=C(C)C(=O)NCC(C)C(=O)NCC=C(C)C
C=C(C1CC(C(C=C)C1)(C(C=C)C)O)O,C=C(C(C=C)C(C=C)O)O
C=CC1=CC=C(C=C)C=C1C(CC(C=C)C)OCC(C=C)C,C=C1CC(C=C)C(C=C)CC1
C=CC1=CC=C(C=C)C=C1CC(C=C)C=C,C=CC1=CC=C(C=C)C=C1C(C=C)C(C=C)
C=C(C1=CC=C(C=C1)C)C(C1=CC=C(C=C1)C)C,C=C(C(C1=CC(C=C1)C(=O)C2CCCCC2)C)C(C(C1=CC(C=C1)C(=O)C2CCCCC2)C)
C=CC1=CC=C(C=C)C=C1C(=O)OCC(C)C,C=CCCCC=C
C=CC(=O)C1CC(C=C)C(C1=O)C(=C)C,C=CC(C(C=C)O)O
C=C(C)C1COC1C(C=C)C(C)C=C,CCC1CCC(C(C)CC(CC)CCCC(C)C)CC1
C=CC1=CC=C(C=C)C=C1C(=O)C(C)C(C)C(=O)O,C=C1CCCCC1C=C
C=C(Cc1ccc(cc1)C=C)C(Cc2ccc(cc2)C=C)C,C=C(C(C)(C)O)C(=C)O
C=CC1=CC=C(C=C)C=C(C=C)C1(C)C,C=CC1=CC(=C(C=C)C=C)C=C(C(=C)OC)C1OC
C=C(C)C(=C(C)C)c1ccc(cc1O)C(=CC=C(C)C)C(C)=C,C=CC1(CC=C(C)C)CC(C=C)C1
CC(=C)C(=O)OCC1=CC=C(C=C)C=C1,C=CC1=CC(C=C)C=C(C1)O
C=C(C)C(=O)OCCCCCC(C=C)C(=O)O,C=C(CN)C(=O)OCC(C=C)C(=O)O
C=C(C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C(=C(C5=CC=C(C=C5)C)C)C)C,C=CC(=O)OCC=C(C(=O)O)C
C=CC1=C(C=C(C)C(=C1)OC)OC(C)C=C,C=CC1=C(C(C)C)C(=C(C)C)C(C)=C1
CC(=C)C(=C)C(=O)OCC(C)CC(=C)C(=C)C(=O)OC,NC(C(=C)C(=C)C(=O)OCC(C)C(=C)C(=C)C)
C=C(C2=C(C=C(C=C2)C=C)SCCCSCCS)C(=C)CC=C,C=C(C2=C(C=C(C=C2)C(=C)OCC(C)C)CC)C(=C)CC=C
C=CC1=C(C=C)C=CC(C1=C)C=C,C=CC(=C)C(=C)C=C
C=C(C(=O)OCC1CCOCC1)C(=O)C,C=C(C1CCCCC1)C=C
C=CC1=CCCCC1C=CC,C(C(=O)OCC=C)(C(=O)OCC=C)C(C(=O)OCC=C)C(=O)
C(C(=O)OCC=C)C(=O)OCC=C,C=C(C(C=C)C(=O)O)C(=O)O
CCC1CCC(CC)CC1,C(C(=O)OCC=C)C(=O)OCC=C
C(C(=O)OCC=C)C(=O)OCC=C,C=CC1=CC=C(C=C)C=C1
C(C(=O)OCC=C(C(=O)O)C)C(=O)OCC=C(C(=O)O)C,C=CC(C(C=C)O)C(C=C)O
C=CC(=O)OCC(C(=O)OCC)C(=O),C=CC1=CCCCC1=C(C=C)C=C
C=C(C(=O)OCC(C)(C)OCC(C)(C)O)C(=O)O,C=C(C)C(C)(C)
OC(CC(O)OCCC(C(O)O)C(O)O)OCCC(C(O)O)C(O)O,C=C(C1CCCCC1)C=C(C1CCCCC1)
C=CC(=O)OCC(C(=O)OCC=C)C(=C)C,C=CC1=CC=C(C=C1)C=CC=C
C=CC(=O)OCC(C(C(=O)OCC=C)C(C(=O)OCC=C)C)CC(=O)OCC=C,C=CC1CCCC(C=C)C1=C
C=C(C(C)C)C=C(C(C)C),C=C(C(=O)OCC(C)C)C(=O)OCC(C)C
C=C(C(=O)O)C(OC1CC(O1)C(C)C)C(C)=O,C=CC1CCC(C=C)C1
CC(=O)C(C=C)OC(COCCO)C(=O)C(C=C)OCCO,C=CC1CC(C=C)CC1C=C
C=C(C=O)C(COCC(=O)O)C(COCC(=O)O)C(=O)O,C=C(C)C1CCCCC1C=C(C)
C=C(C(=O)OCCCCC)C(=C(C=O)OCCCCC)C(=C(C=O)OCCCCC),CCC(C)CCC(C)C(C)CC
CC(=C(C(=O)O)C(C)C)C(=C(C(=O)O)C(C)C)C,CC(=C)C1=CC=C(C=C1)NCCN
C=C(C=O)C(COC(=O)C=C(C=O)C)C=C(C=O),C=C(CO)C(C=C(CO)C)C=C(CO)
C=CC(=O)N(C1=CC=CC=C1)C(=O)N(C=CC(=O)C)C1=CC=CC=C1,CC(C=C)CC(C=C)C
C=C(C(=O)OCCOCCO)C(=O)OCCOCCO,C=C(C1CCCCC1)C=C
C=C(C(=O)O)C1=C(C(C1)C(C)(C)O)C(=CC)C(=C)C(=O)C,C=CC(C)C(=C)C1=CC=CC=C1C=C(C)CC2=CC=CC=C2
C=C(C=O)C(C=C(C=O))(C(=O)OCC)C=C(C=O),C=CC(=C)C=C(C=CC)C=C
C=CC(=O)C(C(CCCC)O)C(=C)C(=O)C=CC(=O),C=CC(C)C=C(C)C=CC
C(=C(C=O)OC(COCC(=O)O)C(=C(C=O))C)C(COCC(=O)O)C,CCC(C)S(C)(O)O
C=C(C)C1=CC(=C(C=C1)C(C)C)O,C(C(C)(C(C(CO)O)O)O)O
C=C(C)C1=CC(=C(C=C1)C(C)C)O,C(C(C(C(C(C(CO)O)O)O)O)O)O
CC1=C(C=C(C=C1)C(C)C)O,C(C(C(C(C(CO)O)O)O)O)O
C=CC1=CC=C(C=C1)C(=C(C)C)OCCO,C(C(C(C(CO)O)O)O)O
C=C(C)C1=CC(=C(C=C1)C(C)C)O,C(C(C(C(C(CO)O)O)O)O)O
C=C(C1=CC=C(C=C1)C(C(C)C)C(C)C)C(COCC)C(C)C,CC(CC1CCCCC1)C1CCC(O)CC1
C(C(C(C(C(CO)O)O)O)O)O,C=C(C)C1=CC(=C(C=C1C)C)C(C)(C)
C=C1C(=O)OC(=O)C1OCCOCCOCCOCC,OCC(C(CO)C)OCC(C(CO)C)O
C=C(C1=CC=C(C=C1)O)C,C(C(C(C(C(CO)O)O)O)O)O
C=C(C)C1=CC(=C(C=C1)C(C)C)O,O=C(C(C1CCCCC1)C(C)O)C(C)O
C=C(C)C1=CC=C(C=C)C=C1C(C)C,C(C(C)C(O)C(O)C)O
CC(O)C(O)C(O)C(O)CO,C=C(C1=C(C=C(C1)C=C)C=C)C=C
C=C(C)C(C(C)C(=O)O)C(C)C(=O)O,C(C(C(=O)O)C(=O)O)C(C(=O)O)C(=O)O
C=CC1=CC(=C(C=C1)C(C)C)O,C(C(C(C(C(CO)O)O)O)O)O
C=C(C)C(=O)OCC(O)C(=C)C,C(CC(=O)O)(C(C)C)(C(=O)O)CC(=O)O
C=CC1=CC=C(C=C1)C=C,C1=CC(C(C(C)O)C(C(C)O)C)C=C1
C=CC(C)C(C)(C)C(C)CC(C)CC(=C)C,C(C(=O)O)N1C(=S)N=C(N1)C
C=CC1=CC=CC=C1C(C(=O)O),C(C(C1=CC=C(C=C1)C(C2=CC=C(C=C2)O)O)O)O
CC(=C)C(C=CC)C(=C)C(=C)C,C(C(=O)O)C(C(=O)O)C(C(=O)O)C(C(=O)O)
C=CC(=O)OCC(CCCCCC)C(=O)OCC=CC,OCC(C1CCCCC1)OCC(O)CC(O)OCCOCCO
C=C(C1CCCCC1)(C=C),OC1=C(C(=C(C(C1=O)C(=O)O)O)O)C(=O)O
C=C(C1=CC(C=C1)(O)O)C(C)=O,C(C(=O)O)C(C(=O)O)C(C)(O)O
C=C(COC(C)C(=O)O)CC(O)C,C(C(=O)O)C(C(=O)O)C(C(=O)O)CC(C)C
C1=CC=C(C=C1C(C2CO2)C2CO2)C(C2CO2)C2CO2,C1=CC=C(C=C1C(C2=CC=CC=C2)N=C(N)C(C2=CC=CC=C2)N)C(C2=CC=CC=C2)N
C1C(O)C(C1O)C(C(C)C)C1C(O)C(C1O)C(C(C)C)C,C1=CC(C(C)C)C(=N)C(C)C(=N)C1
C(C1CO1)C(C1CO1)C1=CC=C(C=C1)C(C1CO1)C(C1CO1)C,NC(C1=CC=CC=C1)C(C1=CC=CC=C1)N
C(C1CO1)C(C1CO1)C1=CC=CC=C1C(C1CO1)C(C1CO1),C(C=NC(C)C)C(C=NC(C)C)C1=CC=CC=C1C(C=NC(C)C)C(C=NC(C)C)
OC1CC(C(O)C2CCC3C(O)CCC3C2C(O)C2CC(O)C(O)C2)CC1O,C(CNCC(C)N)C(CNCC(C)N)C(CNCC(C)N)N
C(C1OC2CC2C(C1)OCC(O)OCC1OC1)C1OC2CC2C(C1)OCC(O)OCC1OC1,NC(C1=CC=CC=C1)C(C1=CC=CC=C1)C(C1=CC=CC=C1)C1=CC=CC=C1
C(C1=CC2=C(C=C1)C(=C(C=C2)C(C3=CC=CC=C3)O)C(C1=CC2=C(C=C1)C(=C(C=C2)C(C(=O)O)O)C)C)C,CC1=C(C(=C(C=C1)C=NC(=N)C)C(N)C(C=O)C)C(C=O)=C(N)C
C1=CC=C(C=C1C(CO)O)C(C2CO2)OCC1CO1,C1=CC(C(=N)C(C)N)C=C(C=C1)N(C)C(=N)C
N(C(C1=CN=CN1)CC(C1=CN=CN1)CC)CC,CC(O)C(OC1CC(C2CC(O)C2OC(C(C)O)C(C)O)C1O)C(C)O
C(C1OCC1)C(C1OCC1)C(C1=CC=C(C=C1)C)C,N=C(C1=NC=CC=C1)N=C(C1=NC=CC=C1)N
C(C1=CC=C(C=C1C(C)C)C(C2COC(C)C2)C2COC(C)C2)C(C)=C(C(C)C)C(C)C,CCCCC(NC(C)C)C(=C(NC(C)C)C)C
C(C1OC(C)C1)CC(C1OC(C)C1)C(C1OC(C)C1)OC(=O)C,CC(C)N=C(C(C)C)C(C(C)C)N
O1C=C(C2=C1C(=C)C2)C(C)C1OC1(C(O)C)C(=C)C,C1=C(C=CC=NCC)C2=C(N=C1)C=CN=C2
CC(C)(C)C1=CC=CC2=C1C(=C(C)C2(C1CO1)OC(C)OCC)OCC1OC1,NC(CCCN=C(N)C(C)CCCCN)C(C)CC
C=C(C1=CC=C(C=C)C=C1)C=C,C(CS)C1=CC=C(CS)C=C1C(CS)
C=CC1=CC=C(C=C)C=C1C2=CC=C(C=C)C=C2,C1=CC=C(C=C1C(CS)C(CS)C)C(CS)C
C=C(C1=CC=CC=C1)C(C1=CC=CC=C1)C=C,C(CS)C(CS)C1=CC=CC=C1
CCS(=O)N(CCS)CCS(=O)N,C=C1CCCCC1=C(C=C)C
C=CC(C1=CC=C(C=C1)C2=CC=C(C=C2)C(C)C)C=C,C(CS)C(CS)C1=CC=C(C=C1)C(CS)C(CS)
C=C(C(C=C)C)C1CCCCC1,C1(CCS)CC(CCS)CC1
C=C(C1=CC=C(C=C1)C=C)C=C,CCS(C(CS)C)CS
C=CC1=CC=CC=C1C(C(C)C)C(C=C)(C)C,C(C(C)C)C(CCS)C(C(C)C)C(CCS)C
C=C(C)C1=CC=C(C=C1)C2=CC(=C(C2=C)C=C(C)C)C=C(C)C,C(CS)C1=CC=C(C=C1)C(CS)C
C=C(C1=CC=CC=C1)SCC(C1=CC=CC=C1)S=C(C)C,C(C(CS)C(CS)C)C1COC1
CCC(CC)CC,CCCC(S)C(S)CCC
C=C(C1=CC=CC=C1)C(C1=CC=CC=C1)C=C,CC(CC1CCC(S)CC1)C1CCC(S)CC1
C=CC1=CC=C(C=C)C=C(C=C)C1CCCCC,CCCCC(CCS)C1=CC=C(C=C)C=C1CCS
C=C(C)C(=O)C(C)C(C(=O)O)C=C(C),C(CS)C(CS)C(CS)C(CS)C(CS)
C=C(C)C(C)(C)C(=O)OCC(C)=C(C)C,CCS(C(=O)N(C)CCSC(C)S)C(=O)N(C)CCS
C=C(C)C(C)(C)C(=O)CC(=C)C(C)(C)C,CCS(CCS)(CCS)C(CS)OCCO
C=C(C)C1=CC=C(C=C)C=C1C2(C(C)C)OCCOCC(O)C2,CCS(C(CS)C(CS)(C)C)CC(CS)C
C=C(C(C)C)C(=O)OCC(C(C)C)C(=C)C,CCS(C(C)C)CC(=O)S(C(C)C)CCS
C=CC(=O)OCC(C)CCCC(CC)C(=C)C,CC(C)CSCC(C)(C)SSCC(C)(C)C
CC(=C(C)C1=CC=C(C=C1)C)CC(=C(C)C1=CC=C(C=C1)C),CC(CS)C(S)C(CS)C(S)C(C)C
C=C(C)C(C(=O)C(C)(C)O)C(C)(C)C=C,CCS(C(C)(C)C(S)C(C)(C)C(S)C(C)(C)C)CC
C=CC1=CC=C(C=C)C=C(C=C)C=C1C=C,C=CC1=CC=C(C=C)C=C(C=C)C1CC=C
C=C(C1=CC=C(C=C1)C(C=C)C2=CC=C(C=C2)C)C,C=C(C1=CC=C(C=C1)C(C=C)C2=CC=C(C=C2)C)C(C)C
C=C(C1=CC=C(C=C1)C2=CC=C(C=C2)C)C=C,C=C(C1=CC=C(C=C1)C2CCCCC2)C=C
C=CC1=CC=C(C=C)C=C(C=C)C=C1C(C)=C,C=CC1=C(C=C(C)C=C)C=C(C)C=C1C(C)=C
C=CC1=CC=C(C=C)C=C(C=C)C=C1,C=CC1=CC=C(C=C)C=C(C=C)C2=CC=CC=C2C(C=C)C1
C=CC1=CC=CC=C1C(C=C)C1=CC=CC=C1,C=CC1=CC=C(C=C)C=C1C1=CC=C(C=C)C=C1
C=CC1=CC=CC=C1C(=O)C(C=C)C(=O)C1=CC=CC=C1C=C,C=CC(=O)C1(C=CC(=O)C1)C=CC(=O)C1(C=CC(=O)C1)
C=C(C1=CC=C(C=C1)C(C=C)C2=CC=C(C=C2)C)C,C=C(C1=CC=C(C=C1)C=C)C=C
C=C(C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C(=O)O)C=C,C=C(C(=O)O)C1=C(C(=O)O)C=C(C=C1)C=C
C=C(C1=CC=C(C=C1)C(C)C(C)(C)C)C=C,C=C(C=CC1=CC=C(C=C1)C(=O)O)C(C)C
C=C(C1=CC=C(C=C)C=C1)C(C1=CC=C(C=C)C=C1)C,C=C(C1=CC=C(C=C)C=C1)C(C1=CC=C(C=C)C=C1)C
C=CC1=CC=NN1C(=C)C2=NN=C(S2)C(=C)C,C=CC1=CC=NN1C(=C)C2=CC=NN2C(C)(C)
C=CC(C1=CC=CC=C1)(C=CC2=CC=CC=C2)C=CC,C=CC(C1=CC=C(C=C)C=C1)(C2=CC=C(C=C)C=C2)C=CC
C=C(C1=CC=C(C=C)C=C1)C(C1=CC=C(C=C)C=C1)C,C=C(C1=CC(=C(C=C)C=C1)C2=CC(=C(C=C)C=C2)C)
C=CC1=C(C(=O)C(=CC1=O)C)C=C(C)C,C=CC(=O)C=C(C(=O)C)C=C
C=C1C(=C)C(CC(=O)O)C(=C)C1C(=O)O,C=C(c1ccc(C=C)(c1)C)C(c2ccc(C=C)(c2)C)C
C=CC1=CC=C(C=C)C=C(C=C)C=C1,C=CC(C(C)(C)O)C1=CC=C(C=C)C=C(C=C)C=C1
CCCC(=C)C(C=C)c1ccc(cc1)C(=C)c2ccc(cc2)C(=C)CC,O=C(C=C)c1ccc(cc1)C(=C)c2ccc(cc2)C(=C)C(=O)OC(C=C)c3cccc(c3)C(=C)
CC(C1CCCCC1)C(C)C(C)C1CCCCC1,C=C(C1=CC=CC=C1)C(C)C(C1=CC=CC=C1)C=C
C=C(C1=CC=C(C=C1)C(=O)O)C2=CC(=C(C=C2)C1=CC=C(C=C1)OCC)C(C)C(C=C),C=C(C1=CC=C(C=C1)OC(=O)C(=C)C(C(C)OCC))C(=O)C2=CC(=C(C=C2)O)OC(C)C
CC(=O)C(C=Cc1ccccc1)C(=O)C(C=Cc1ccccc1),CCc1c(CC(C)CC)nnc(N)c1N
C=CC1=CC=C(C=C)C=C(C=C)C2=CC=CC=C2C1CCC(C)C,C=CC1=CC=C(C=C)C2(C=CC=C(C=C)C1)C(C2)C=CC=C
C(C(C(=O)OCC=C)OCC=C)C(C(=O)OCC=C)OCC=C,C=CC1=CC=C(C=C)C=C1C=CC
C=CC1CC(C=C)CC1C=C,C(C(=O)OCCO)C(=C)C(=O)O
C=C(C(=O)OCCOC(=O)C=C)C(=O)OCCOC(=O)C=C,C=C(C1=CC=C(C=C1)C=C)C=C
C=CC(=O)OCCOCC(=O)C1=CC=C(C=C1)C(=O)OCC=C,C=CC1=CC=C(C=C1)C=CC=C
C(C(C(=O)OCC=C)OCC=C)C(C(=O)OCC=C)C,C=CC1=CC=C(C=C)C=C1C=CC
CC(=O)C(=C)C(=O)OCCOCC(C=O)C(=C)C(=O)C,C=CC1=CC=C(C=C)C=C1C=CC
CCC(O)OCC(C1CCCCC1)C(O)OCC(C)C1CCCCC1,C=CC1=CC=C(C=C1)C=CC2=CC=C(C=C2)C=C
C=CC(=O)OCC(C=C)C(=O)OCC(C=C)C(=O)O,C=C(C)C(C=C(C)C)C(C=C(C)C)C(C=C(C)C)C
C=C(C(=O)OCC(C(=O)O)C=C)C(C)C,CCC1CCC(C(C)C)CC1
C=CC(=O)C(C1=CC=C(C=C1)O)C(C1=CC=C(C=C1)O)C=CC(=O),C=CC(C1=CC=CC=C1)C(C1=CC=CC=C1)C=C
CC(=C(C=O)O)C1=CC=C(C=C1)C(C(=O)O)C,C=CC1=CC=C(C=C1)C=CC
C=C(C(=O)O)C(C)(C)C(=O)NCC(C)C,C=C(C)C1CC(C=C)CC1C(C)C=C
C=C(C(=O)OCC(C)(C)C)C(C)(C)C,C=CC1CC(C=C)CC1C=C
C=CC(=O)OCC(C)(C)C(=O)OCC(C)(C)C=CC(=O)O,CC(C)(C)CC(C)(C)C
C=C(C(=O)O)C(C)(C)C(=O)OCC(C)(C)C,C=C(C(C)C=C)C(C)C(C)C=C
CC(=C(C=O)C(=O)O)C(CC(=C)C(=O)O)C,C=CC(C)C(C=C)C(C)CC=C
C=C(C(=O)O)C(C)(C)C(C)(O)O,C=C(C1=CC=C(C=C1)C=C)C=C
C=CC(=O)C(C=C(C=O)C)C(C)C,C=CC(C)(C)C=CC(C)C
C=CC(=O)OCC(C=CC(=O)O)C(C=CC(=O)O),C=CC(C)C(C=CC(C)C)C(C=CC(C)C)(C=CC(C)C)
C=CC(=O)OCC(C=C)C(C=C)C(=O)OCC,C=CC(C)C(C=C)C(C=C)C(C=C)C
C=CC(C(=O)O)C(C(=O)O)C=CC,C=C(C)C=C(C)C(C)C
CC(=O)C(=C)C(=O)OCC(C(=C)C(=O))C(=C)C(=O),C=CC(C=CC)C=C(C=CC)C
C=C(C=O)C(=O)OC(CC)C(=C(C=O))C(=O)O,C=C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C
C(=O)C(C=C(C=O))C(C(=O)O)C(CC(=O)O)C(C)=C(C(=O)O)C,CCC(CCC(C(C)CC(C)C)C(C)(C)C)C(C)C
C=C(C)C(C(C)C)C(=O)OCC(C)C(C=C)C,O=C(C(C)C)C(C(C)C)(O)C(=O)C(C)C
CCC(C)(C1CCCCC1)C(CC(O)O)C(O)O,C(C(=O)O)(C(C(=O)O)C(C)O)C(C)O
C=CC(C)C(=O)OCC(C)C(=C)C(=O)O,C(C(=O)O)C(C(=O)O)C=CC(C(=O)O)C(C(=O)O)
C=C(C)C1=CC=C(C=C)C=C1C(C)=C(C)C,C1(C(=O)O)C(=O)C(C1=O)C(C(C)C)C(C)C
CCC(CCCC(C)C)C(C)C(C)C(O)OCCO,O=C(C(C(C(C(=O)O)O)C)C)C(=O)O
C=C(C(C)(C)C)C(=O)OCC(C)(C)C,CC(O)OCC(C)C(=O)OCC(C)C
C=C(C)C1(COC(C)(C)C1=O)C=C(C)C,C(C(C(=O)O)C(=O)O)C(C)(C)OCC(C)(C)O
C=C(C1=CC=C(C=C1)O)C,O=C(C1=CC=CC=C1)C(COCC)OCC
C=CC1=CC=CC=C1OCC(C=CC1=CC=CC=C1O)CC,CC(C(C(=O)O)C(C(=O)O)CC)C(C)C
C=C(C)C(=O)OCC(C)C(=O)OCC(C)C,C(C(=O)OCC)C(C(=O)OCC)C(C(=O)OCC)C(C(=O)OCC)
C=C(C)C(C)C(=O)OCC(C)C(=C)C,CC(=O)C(=O)OCC(C)CC(=O)C
C=C1CCCCC1C=C,C1=CC(=C(C=C1C(CO)C)C(CO)C)C(CO)
C=CC1=CC=C(C=C)C=C(C=C)C=C1,C(C(=O)OCCOCCO)C(=O)O
C=CC(C)(C)C(CO)OCC(C=C)OCC(C)(C)C,CC(C(=O)C(C(=O)C)C(C)(C)C)OCC(C)(C)C
C=C(C(C)(C)C)C(=O)OCC(C)(C)C,CC(=O)OCC(C(=O)O)CC(=O)O
C=C(C1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)C(C)(C)C)OC(C)C(=O)C(C)C,C=CC(=O)OCC(C)(O)C(C)(O)C(=O)OCC(C)(O)C
C=C(C(C)C)C(C)C(=O)OCC(C)C,CC(C)CC(O)(OCC(C)O)C(C)N
CCCCCCCCCCC(=O)OCC=C,C(C(CO)OCCOCC)OCC(C(CO)OCCOCC)C
C=CC1=CC(=O)OC1O,C(C(=O)O)C(C)O
C=C(C1=CC=C(C=C1)C(O)C=C)C,OCC(C(=O)OCC(C(=O)O))OCC
