Smiles,Ration_1,Ratio_2,Er,Tg
"['C1OC1COC3COC4C(OC2CO2)COC34', 'CCCCCCCCCCCCN']",0.1,0.9,15.471966,78.29125
"['C1OC1COC3COC4C(OC2CO2)COC34', 'CCCCCCCCCCN']",0.1,0.9,13.555717,57.844505
"['C1OC1COC3COC4C(OC2CO2)COC34', 'CCCCCCCCCN']",0.1,0.9,12.186874,47.21366
"['C1OC1COC3COC4C(OC2CO2)COC34', 'CCc1cc(C)c(N)c(CC)c1N']",0.6,0.4,21.946507,11.979689
"['C1OC1COC3COC4C(OC2CO2)COC34', 'COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN']",0.1,0.9,23.58621,92.84939
"['C1OC1COC3COC4C(OC2CO2)COC34', 'COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)N']",0.1,0.9,36.815254,139.46751
"['C1OC1COC3COC4C(OC2CO2)COC34', 'COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N']",0.1,0.9,90.97838,302.94046
"['C1OC1COC3COC4C(OC2CO2)COC34', 'COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N']",0.1,0.9,88.8688,316.49365
"['C1OC1COC3COC4C(OC2CO2)COC34', 'NCCCOCCOCCCN']",0.6,0.4,10.971747,30.936102
"['C1OC1COC3COC4C(OC2CO2)COC34', 'NCCNCCN']",0.6,0.4,141.54332,84.96857
"['C1OC1COC3COC4C(OC2CO2)COC34', 'NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN']",0.6,0.4,91.18405,70.3109
"['C1OC1COC3COC4C(OC2CO2)COC34', 'NCCOCCOCCN']",0.6,0.4,18.490368,43.90525
"['C1OC1COC3COC4C(OC2CO2)COC34', 'NCc1cccc(CN)c1']",0.5,0.5,31.870338,17.385332
"['C1OC1COC3COC4C(OC2CO2)COC34', 'Nc1cccc(N)c1']",0.6,0.4,12.207759,42.488808
"['C1OC1COC3COC4C(OC2CO2)COC34', 'Nc2ccc(Cc1ccc(N)cc1)cc2']",0.1,0.9,14.007746,90.12389
"['C1OC1COC3COC4C(OC2CO2)COC34', 'Nc2ccc(S(=O)(=O)c1ccc(N)cc1)cc2']",0.6,0.4,63.717667,70.31322
"['C1OC1COC3COC4C(OC2CO2)COC34', 'Nc2ccc(SSc1ccc(N)cc1)cc2']",0.1,0.9,29.160137,166.78665
"['C1OC1COC3COC4C(OC2CO2)COC34', 'Nc2cccc(S(=O)(=O)c1cccc(N)c1)c2']",0.5,0.5,66.7837,121.6611
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OC']",0.3,0.7,20.715328,128.34888
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2']",0.4,0.6,63.906746,55.113922
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCCC']",0.6,0.4,3.7924047,42.06788
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,18.294666,41.533737
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,20.552418,99.38922
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,24.60545,127.42638
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C', 'C=CC(=O)OC(C)(C)C']",0.1,0.9,24.82269,111.92952
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,24.82269,111.92952
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,26.517199,125.55687
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,30.015045,181.40765
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,32.59838,245.31079
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1']",0.3,0.7,29.807796,76.630844
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O']",0.4,0.6,132.39551,72.798744
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=CC(=O)OCCCC']",0.6,0.4,2.3521438,38.27086
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O']",0.1,0.9,321.39795,247.6739
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=CCOC(CC)(CO)CO']",0.1,0.9,5.503209,24.054085
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=CCOCC(CO)(COCC=C)COCC=C']",0.1,0.9,4.1652374,27.978447
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1']",0.1,0.9,18.678411,58.892895
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C']",0.1,0.9,23.737955,57.95134
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3']",0.2,0.8,69.11737,118.83583
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O']",0.4,0.6,9.084534,41.041954
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=COC(=O)CCCCCC(C)(C)C']",0.1,0.9,4.11033,91.84833
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=Cc1cccc(C=C)c1']",0.6,0.4,3.3849442,45.047886
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,26.530357,138.16367
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS']",0.3,0.7,39.405083,50.834526
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS']",0.1,0.9,16.18847,30.993961
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4']",0.4,0.6,38.028866,159.57991
"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS']",0.1,0.9,34.948284,211.4832
"['C=C(C)C(=O)OC', 'C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C']",0.6,0.4,22.28173,85.99428
"['C=C(C)C(=O)OC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,18.973564,86.13733
"['C=C(C)C(=O)OC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,23.243114,108.812744
"['C=C(C)C(=O)OC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,23.564943,94.846344
"['C=C(C)C(=O)OC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,25.323608,106.724884
"['C=C(C)C(=O)OC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,28.991749,166.95752
"['C=C(C)C(=O)OC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,31.806553,230.2025
"['C=C(C)C(=O)OC', 'C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1']",0.1,0.9,27.931,99.237625
"['C=C(C)C(=O)OC', 'C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O']",0.2,0.8,138.67383,108.39598
"['C=C(C)C(=O)OC', 'C=CC(=O)OCCCC']",0.6,0.4,13.155659,121.53561
"['C=C(C)C(=O)OC', 'C=CCOC(CC)(CO)CO']",0.6,0.4,12.072006,68.73633
"['C=C(C)C(=O)OC', 'C=CCOCC(CO)(COCC=C)COCC=C']",0.6,0.4,14.210096,58.52063
"['C=C(C)C(=O)OC', 'C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1']",0.6,0.4,20.289083,63.335766
"['C=C(C)C(=O)OC', 'C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C']",0.5,0.5,45.675713,74.05865
"['C=C(C)C(=O)OC', 'C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3']",0.4,0.6,99.00337,126.31464
"['C=C(C)C(=O)OC', 'C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O']",0.5,0.5,5.4215093,112.36341
"['C=C(C)C(=O)OC', 'C=COC(=O)CCCCCC(C)(C)C']",0.6,0.4,10.86096,117.25647
"['C=C(C)C(=O)OC', 'C=Cc1cccc(C=C)c1']",0.1,0.9,2.6423612,58.388546
"['C=C(C)C(=O)OC', 'CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,25.256763,123.79756
"['C=C(C)C(=O)OC', 'CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS']",0.3,0.7,38.087097,90.49822
"['C=C(C)C(=O)OC', 'CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS']",0.5,0.5,46.273186,101.01521
"['C=C(C)C(=O)OC', 'O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4']",0.1,0.9,28.63715,187.14273
"['C=C(C)C(=O)OC', 'O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS']",0.1,0.9,42.204765,206.83069
['C=C(C)C(=O)OC'],0.1,0.9,102.884346,784.9252
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OC']",0.6,0.4,46.88128,67.17052
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OCCCC']",0.6,0.4,25.44255,47.791435
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,18.063282,50.162663
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,20.43382,104.34841
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,24.398182,124.82341
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,24.44085,106.40576
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,26.38301,132.00471
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,29.795902,184.18494
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,32.44959,242.20763
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1']",0.4,0.6,31.81502,69.290985
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O']",0.6,0.4,138.64474,98.561676
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=CC(=O)OCCCC']",0.6,0.4,36.072044,65.95898
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O']",0.1,0.9,339.5126,246.74385
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=CCOC(CC)(CO)CO']",0.6,0.4,106.59781,91.860405
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=CCOCC(CO)(COCC=C)COCC=C']",0.6,0.4,13.923044,40.60868
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1']",0.1,0.9,18.732605,58.79819
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C']",0.1,0.9,24.398993,57.80837
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3']",0.3,0.7,87.5992,125.99647
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O']",0.6,0.4,36.563793,54.936054
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=COC(=O)CCCCCC(C)(C)C']",0.6,0.4,48.942104,30.853762
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=Cc1cccc(C=C)c1']",0.6,0.4,53.370785,106.47073
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,26.571678,143.33665
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS']",0.5,0.5,60.092003,85.039764
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS']",0.6,0.4,21.2218,54.750015
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4']",0.3,0.7,31.32679,178.52423
"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS']",0.1,0.9,31.558722,190.06659
['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2'],0.1,0.9,113.2819,784.4523
"['C=C(C)C(=O)OCCCC', 'C=C(C)C(=O)OC']",0.5,0.5,5.1938634,113.231926
"['C=C(C)C(=O)OCCCC', 'C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,16.26421,35.741653
"['C=C(C)C(=O)OCCCC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,19.523085,87.40956
"['C=C(C)C(=O)OCCCC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,23.903782,115.22643
"['C=C(C)C(=O)OCCCC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,24.29325,100.66534
"['C=C(C)C(=O)OCCCC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,26.17243,113.78598
"['C=C(C)C(=O)OCCCC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,29.745464,168.77751
"['C=C(C)C(=O)OCCCC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,32.02907,232.45663
"['C=C(C)C(=O)OCCCC', 'C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1']",0.1,0.9,27.696615,99.766075
"['C=C(C)C(=O)OCCCC', 'C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O']",0.2,0.8,138.59392,109.31816
"['C=C(C)C(=O)OCCCC', 'C=CC(=O)OCCCC']",0.5,0.5,3.3594253,68.88829
"['C=C(C)C(=O)OCCCC', 'C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O']",0.1,0.9,287.9888,228.1062
"['C=C(C)C(=O)OCCCC', 'C=CCOC(CC)(CO)CO']",0.6,0.4,12.768378,45.710274
"['C=C(C)C(=O)OCCCC', 'C=CCOCC(CO)(COCC=C)COCC=C']",0.1,0.9,4.5651145,26.778011
"['C=C(C)C(=O)OCCCC', 'C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1']",0.1,0.9,18.190987,56.66945
"['C=C(C)C(=O)OCCCC', 'C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C']",0.1,0.9,24.704182,58.493614
"['C=C(C)C(=O)OCCCC', 'C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3']",0.1,0.9,84.59222,132.22044
"['C=C(C)C(=O)OCCCC', 'C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O']",0.5,0.5,7.721065,58.93244
"['C=C(C)C(=O)OCCCC', 'C=COC(=O)CCCCCC(C)(C)C']",0.1,0.9,4.088591,98.42822
"['C=C(C)C(=O)OCCCC', 'C=Cc1cccc(C=C)c1']",0.1,0.9,2.696407,56.754887
"['C=C(C)C(=O)OCCCC', 'CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,26.44915,131.52104
"['C=C(C)C(=O)OCCCC', 'CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,26.44915,131.52104
"['C=C(C)C(=O)OCCCC', 'CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS']",0.2,0.8,18.08675,44.454365
"['C=C(C)C(=O)OCCCC', 'CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS']",0.1,0.9,12.820538,29.117855
"['C=C(C)C(=O)OCCCC', 'O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4']",0.1,0.9,28.926153,187.32475
"['C=C(C)C(=O)OCCCC', 'O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS']",0.1,0.9,41.37954,223.39005
"['C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,21.795773,106.69539
"['C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C', 'C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1']",0.3,0.7,29.402023,76.02776
"['C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C', 'C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O']",0.2,0.8,112.11389,79.53531
"['C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C', 'C=Cc1cccc(C=C)c1']",0.5,0.5,4.6955013,31.942514
"['C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C', 'CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS']",0.2,0.8,17.653992,37.780483
"['C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C', 'CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS']",0.1,0.9,12.328449,22.436378
"['C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C', 'O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4']",0.4,0.6,66.372284,171.6579
"['C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C', 'O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS']",0.6,0.4,45.221436,147.41116
